id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1339713,movie,Obsession,2026-05-13,595.2258,7.911,856,en,,Horror; Thriller
284631,tv,Raakh,2026-06-12,536.1053,0.0,0,hi,IN,Crime; Drama
936075,movie,Michael,2026-04-22,535.6645,8.651,2671,en,,Music; Drama
931285,movie,Mortal Kombat II,2026-05-06,491.176,8.0,1473,en,,Action; Fantasy; Adventure
1239134,movie,Bhooth Bangla,2026-04-16,368.1664,5.3,23,hi,,Horror; Comedy
1367220,movie,Karuppu,2026-05-14,348.2754,7.1,17,ta,,Action; Fantasy
273240,tv,Off Campus,2026-05-13,308.2576,8.988,482,en,US,Drama
1523145,movie,Your Heart Will Be Broken,2026-03-26,289.8489,7.041,98,ru,,Romance
1057265,movie,Peddi,2026-06-03,277.9619,6.2,47,te,,Action; Drama
1084244,movie,Toy Story 5,2026-06-17,262.6239,7.4,107,en,,Animation; Family; Comedy; Adventure
1275779,movie,Disclosure Day,2026-06-10,243.9446,6.738,524,en,,Science Fiction; Thriller
1308553,movie,Hai Jawani Toh Ishq Hona Hai,2026-06-04,222.7483,5.474,19,hi,,Romance; Comedy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,212.5038,8.202,2685,en,,Family; Comedy; Adventure; Fantasy; Animation
276161,tv,Teach You a Lesson,2026-06-05,212.4825,9.464,380,ko,KR,Action & Adventure; Drama; Comedy
1228710,movie,The Mandalorian and Grogu,2026-05-20,212.2515,6.74,492,en,,Action; Adventure; Science Fiction
288603,tv,Never-Ending Summer,2026-06-16,203.7375,4.25,2,zh,CN,Drama
1103473,movie,KD – The Devil,2026-04-30,194.598,7.5,2,kn,,History; Crime; Action; Fantasy
1477317,movie,Your Fault: London,2026-06-17,193.7518,7.629,66,en,,Romance; Drama
1280738,movie,The Furious,2026-06-10,178.9978,8.0,44,en,,Action; Crime
912378,movie,Dridam,2026-05-08,159.168,7.0,1,ml,,Crime; Thriller
1007757,movie,Swapped,2026-05-01,153.6512,8.969,1721,en,,Adventure; Animation; Family; Fantasy
1304313,movie,Lee Cronin's The Mummy,2026-04-15,152.4658,8.038,1878,en,,Horror; Mystery
1431068,movie,Main Vaapas Aaunga,2026-06-10,145.2956,4.0,2,hi,,Romance; Drama
299167,tv,Dutton Ranch,2026-05-15,143.228,9.355,279,en,US,Western; Drama
278178,tv,I Will Find You,2026-06-18,139.7094,8.54,25,en,US,Drama; Mystery; Crime
322430,tv,The Polygamist,2026-06-12,136.0357,7.775,20,zu,ZA,Drama; Soap
687163,movie,Project Hail Mary,2026-03-15,133.9242,8.684,5205,en,,Science Fiction; Adventure
1122573,movie,In the Grey,2026-05-13,132.3378,6.644,246,en,,Action; Thriller
1439930,movie,The Punisher: One Last Kill,2026-05-12,130.3253,8.344,1641,en,,Action; Drama; Crime
1582770,movie,Dhurandhar: The Revenge,2026-03-18,125.2517,7.3,119,hi,,Action; Crime; Thriller
454639,movie,Masters of the Universe,2026-06-03,121.6616,7.231,247,en,,Action; Fantasy; Science Fiction
1083381,movie,Backrooms,2026-05-27,120.8392,6.884,622,en,,Horror; Mystery; Science Fiction
1127384,movie,Deep Water,2026-04-30,120.7506,6.339,28,en,,Thriller; Horror
260592,tv,Every Year After,2026-06-10,116.021,8.329,41,en,US,Drama
1293550,movie,Bandar,2026-06-05,114.1343,7.0,1,hi,,Thriller
1327819,movie,Hoppers,2026-03-04,111.0302,8.183,1642,en,,Adventure; Animation; Comedy; Family; Science Fiction
220102,tv,Spider-Noir,2026-05-25,108.7663,8.519,559,en,US,Drama; Mystery; Crime
1380291,movie,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,106.5975,7.066,579,en,,Action; Thriller
1486860,movie,Haunted 3D: Echoes of the Past,2026-06-12,103.8363,0.0,0,hi,,Horror; Romance; Thriller
284725,tv,Not Suitable for Work,2026-06-02,99.996,5.5,22,en,US,Comedy
1358005,movie,Office Romance,2026-06-04,99.1606,6.557,220,en,,Romance; Comedy
270476,tv,Widow's Bay,2026-04-28,96.6696,8.2,182,en,US,Drama; Mystery; Comedy
1318413,movie,Pressure,2026-05-25,89.6984,7.682,55,en,,Thriller; History; War
1694978,movie,Chum,2026-05-27,89.6033,4.929,14,en,,Horror
1288341,movie,Seven Snipers,2026-04-30,85.44,5.691,34,en,,Action; Thriller
1290821,movie,Shelter,2026-01-28,84.2497,7.667,1254,en,,Action; Crime; Thriller
315038,tv,Resort,2026-03-13,78.7648,0.0,0,ta,IN,Comedy; Drama
1430077,movie,Hokum,2026-04-29,77.1327,6.651,245,en,,Horror
1297842,movie,GOAT,2026-02-11,74.1947,8.122,808,en,,Animation; Comedy; Family
1363387,movie,Saccharine,2026-05-22,72.5998,6.3,25,en,,Horror
1351908,movie,Bharat Bhhagya Viddhaata,2026-06-12,71.5433,0.0,0,hi,,Drama; Thriller
1318447,movie,Apex,2026-04-24,71.4471,6.817,1488,en,,Action; Thriller
1628448,movie,Maa Behen,2026-06-04,71.2158,6.667,10,hi,,Comedy; Thriller; Drama
1390300,movie,Over Your Dead Body,2026-03-14,70.2875,6.566,273,en,,Action; Comedy; Thriller
1273221,movie,Scary Movie,2026-06-03,69.9316,5.511,312,en,,Comedy; Horror
1305781,movie,Blades of the Guardians,2026-02-17,65.2418,7.008,64,zh,,Action; Drama; History
281401,tv,Finding Her Edge,2026-01-22,60.4856,7.559,75,en,CA,Drama
277439,tv,Cape Fear,2026-06-04,56.9915,6.6,44,en,US,Drama; Crime
290856,tv,Marshals,2026-03-01,55.5765,7.956,286,en,US,Drama; Crime; Action & Adventure
1560681,movie,Colors of Evil: Black,2026-06-10,54.8553,6.8,69,pl,,Thriller; Mystery; Crime
1433117,movie,Kara,2026-04-30,54.8121,6.1,22,ta,,Crime; Drama; Thriller
312493,tv,Viral Hit,2026-06-11,53.3221,7.37,23,ja,JP,Drama; Action & Adventure
1159559,movie,Scream 7,2026-02-25,53.0098,6.176,1049,en,,Horror; Mystery; Crime
1472951,movie,Infiltrate,2026-04-10,52.006,5.6,18,en,,Action; Thriller
840464,movie,Greenland 2: Migration,2026-01-07,51.9115,6.439,1218,en,,Adventure; Thriller; Science Fiction
303143,tv,My Royal Nemesis,2026-05-08,51.846,8.7,37,ko,KR,Drama; Comedy; Sci-Fi & Fantasy
308014,tv,Berlin and the Lady with an Ermine,2026-05-15,50.6914,8.2,165,es,ES,Drama; Crime; Action & Adventure
1292415,movie,Beast,2026-04-10,50.3237,6.377,53,en,,Action; Drama
290019,tv,I Made Friends with the Second Prettiest Girl in My Class,2026-04-07,49.1359,8.5,24,ja,JP,Animation; Comedy; Drama
1292695,movie,They Will Kill You,2026-03-25,47.5122,7.047,779,en,,Horror; Comedy; Action
1507097,movie,Sattendru Maarudhu Vaanilai,2026-05-15,45.7907,0.0,0,ta,,Thriller; Drama; Comedy; Romance
1475803,movie,Governor,2026-06-12,45.361,6.0,1,hi,,Drama; Thriller
279388,tv,Pursuit of Jade,2026-03-06,45.1863,8.0,68,zh,CN,Drama
311858,tv,Prisoner,2026-04-30,45.098,5.429,21,en,GB,Crime; Action & Adventure
1171145,movie,Crime 101,2026-02-11,44.974,6.996,1088,en,,Crime; Thriller
288659,tv,Agents of the Four Seasons Dance of Spring,2026-03-29,44.6415,7.5,9,ja,JP,Animation; Drama; Sci-Fi & Fantasy
1265609,movie,War Machine,2026-02-12,44.5169,7.39,1924,en,,Action; Science Fiction; Thriller
1325734,movie,The Drama,2026-03-26,44.3519,6.957,1056,en,,Romance; Comedy; Drama
1480387,movie,undertone,2026-03-12,43.9175,6.2,254,en,,Horror; Mystery
1220522,movie,Dacoit,2026-04-10,43.4269,6.6,5,te,,Action; Romance; Thriller
949536,movie,Kill Code,2026-04-16,43.4035,5.4,10,en,,Action; Thriller; Science Fiction
1613798,movie,Vengeance,2026-02-26,42.2928,7.517,258,es,,Action; Thriller
