id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres,genre
1290821,movie,Shelter,2026-01-28,434.2537,6.93,129,en,,Action; Crime; Thriller,Action
1290821,movie,Shelter,2026-01-28,434.2537,6.93,129,en,,Action; Crime; Thriller,Crime
1290821,movie,Shelter,2026-01-28,434.2537,6.93,129,en,,Action; Crime; Thriller,Thriller
1236153,movie,Mercy,2026-01-20,379.2699,7.131,553,en,,Science Fiction; Action; Thriller,Science Fiction
1236153,movie,Mercy,2026-01-20,379.2699,7.131,553,en,,Science Fiction; Action; Thriller,Action
1236153,movie,Mercy,2026-01-20,379.2699,7.131,553,en,,Science Fiction; Action; Thriller,Thriller
799882,movie,The Bluff,2026-02-17,358.4436,6.055,64,en,,Action; Thriller,Action
799882,movie,The Bluff,2026-02-17,358.4436,6.055,64,en,,Action; Thriller,Thriller
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,318.2584,8.5,520,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,318.2584,8.5,520,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Sci-Fi & Fantasy
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,318.2584,8.5,520,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Action & Adventure
1088434,movie,Hellfire,2026-02-05,211.2571,7.118,34,en,,Action; Thriller,Action
1088434,movie,Hellfire,2026-02-05,211.2571,7.118,34,en,,Action; Thriller,Thriller
680493,movie,Return to Silent Hill,2026-01-21,174.3106,5.068,206,en,,Mystery; Drama; Horror,Mystery
680493,movie,Return to Silent Hill,2026-01-21,174.3106,5.068,206,en,,Mystery; Drama; Horror,Drama
680493,movie,Return to Silent Hill,2026-01-21,174.3106,5.068,206,en,,Mystery; Drama; Horror,Horror
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,172.8274,7.2,654,en,,Horror; Thriller; Science Fiction,Horror
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,172.8274,7.2,654,en,,Horror; Thriller; Science Fiction,Thriller
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,172.8274,7.2,654,en,,Horror; Thriller; Science Fiction,Science Fiction
1084242,movie,Zootopia 2,2025-11-26,159.2142,7.602,1872,en,,Animation; Comedy; Adventure; Family; Mystery,Animation
1084242,movie,Zootopia 2,2025-11-26,159.2142,7.602,1872,en,,Animation; Comedy; Adventure; Family; Mystery,Comedy
1084242,movie,Zootopia 2,2025-11-26,159.2142,7.602,1872,en,,Animation; Comedy; Adventure; Family; Mystery,Adventure
1084242,movie,Zootopia 2,2025-11-26,159.2142,7.602,1872,en,,Animation; Comedy; Adventure; Family; Mystery,Family
1084242,movie,Zootopia 2,2025-11-26,159.2142,7.602,1872,en,,Animation; Comedy; Adventure; Family; Mystery,Mystery
840464,movie,Greenland 2: Migration,2026-01-07,149.5099,6.504,519,en,,Adventure; Thriller; Science Fiction,Adventure
