id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres,genre
1339713,movie,Obsession,2026-05-13,595.2258,7.911,856,en,,Horror; Thriller,Horror
1339713,movie,Obsession,2026-05-13,595.2258,7.911,856,en,,Horror; Thriller,Thriller
284631,tv,Raakh,2026-06-12,536.1053,0.0,0,hi,IN,Crime; Drama,Crime
284631,tv,Raakh,2026-06-12,536.1053,0.0,0,hi,IN,Crime; Drama,Drama
936075,movie,Michael,2026-04-22,535.6645,8.651,2671,en,,Music; Drama,Music
936075,movie,Michael,2026-04-22,535.6645,8.651,2671,en,,Music; Drama,Drama
931285,movie,Mortal Kombat II,2026-05-06,491.176,8.0,1473,en,,Action; Fantasy; Adventure,Action
931285,movie,Mortal Kombat II,2026-05-06,491.176,8.0,1473,en,,Action; Fantasy; Adventure,Fantasy
931285,movie,Mortal Kombat II,2026-05-06,491.176,8.0,1473,en,,Action; Fantasy; Adventure,Adventure
1239134,movie,Bhooth Bangla,2026-04-16,368.1664,5.3,23,hi,,Horror; Comedy,Horror
1239134,movie,Bhooth Bangla,2026-04-16,368.1664,5.3,23,hi,,Horror; Comedy,Comedy
1367220,movie,Karuppu,2026-05-14,348.2754,7.1,17,ta,,Action; Fantasy,Action
1367220,movie,Karuppu,2026-05-14,348.2754,7.1,17,ta,,Action; Fantasy,Fantasy
273240,tv,Off Campus,2026-05-13,308.2576,8.988,482,en,US,Drama,Drama
1523145,movie,Your Heart Will Be Broken,2026-03-26,289.8489,7.041,98,ru,,Romance,Romance
1057265,movie,Peddi,2026-06-03,277.9619,6.2,47,te,,Action; Drama,Action
1057265,movie,Peddi,2026-06-03,277.9619,6.2,47,te,,Action; Drama,Drama
1084244,movie,Toy Story 5,2026-06-17,262.6239,7.4,107,en,,Animation; Family; Comedy; Adventure,Animation
1084244,movie,Toy Story 5,2026-06-17,262.6239,7.4,107,en,,Animation; Family; Comedy; Adventure,Family
1084244,movie,Toy Story 5,2026-06-17,262.6239,7.4,107,en,,Animation; Family; Comedy; Adventure,Comedy
1084244,movie,Toy Story 5,2026-06-17,262.6239,7.4,107,en,,Animation; Family; Comedy; Adventure,Adventure
1275779,movie,Disclosure Day,2026-06-10,243.9446,6.738,524,en,,Science Fiction; Thriller,Science Fiction
1275779,movie,Disclosure Day,2026-06-10,243.9446,6.738,524,en,,Science Fiction; Thriller,Thriller
1308553,movie,Hai Jawani Toh Ishq Hona Hai,2026-06-04,222.7483,5.474,19,hi,,Romance; Comedy,Romance
1308553,movie,Hai Jawani Toh Ishq Hona Hai,2026-06-04,222.7483,5.474,19,hi,,Romance; Comedy,Comedy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,212.5038,8.202,2685,en,,Family; Comedy; Adventure; Fantasy; Animation,Family
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,212.5038,8.202,2685,en,,Family; Comedy; Adventure; Fantasy; Animation,Comedy
