id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres,genre
1168190,movie,The Wrecking Crew,2026-01-28,580.7651,6.804,393,en,,Action; Comedy; Crime; Mystery,Action
1168190,movie,The Wrecking Crew,2026-01-28,580.7651,6.804,393,en,,Action; Comedy; Crime; Mystery,Comedy
1168190,movie,The Wrecking Crew,2026-01-28,580.7651,6.804,393,en,,Action; Comedy; Crime; Mystery,Crime
1168190,movie,The Wrecking Crew,2026-01-28,580.7651,6.804,393,en,,Action; Comedy; Crime; Mystery,Mystery
840464,movie,Greenland 2: Migration,2026-01-07,559.5793,6.495,319,en,,Adventure; Thriller; Science Fiction,Adventure
840464,movie,Greenland 2: Migration,2026-01-07,559.5793,6.495,319,en,,Adventure; Thriller; Science Fiction,Thriller
840464,movie,Greenland 2: Migration,2026-01-07,559.5793,6.495,319,en,,Adventure; Thriller; Science Fiction,Science Fiction
1368166,movie,The Housemaid,2025-12-18,353.1395,7.131,767,en,,Mystery; Thriller,Mystery
1368166,movie,The Housemaid,2025-12-18,353.1395,7.131,767,en,,Mystery; Thriller,Thriller
1084242,movie,Zootopia 2,2025-11-26,310.0706,7.628,1535,en,,Animation; Comedy; Adventure; Family; Mystery,Animation
1084242,movie,Zootopia 2,2025-11-26,310.0706,7.628,1535,en,,Animation; Comedy; Adventure; Family; Mystery,Comedy
1084242,movie,Zootopia 2,2025-11-26,310.0706,7.628,1535,en,,Animation; Comedy; Adventure; Family; Mystery,Adventure
1084242,movie,Zootopia 2,2025-11-26,310.0706,7.628,1535,en,,Animation; Comedy; Adventure; Family; Mystery,Family
1084242,movie,Zootopia 2,2025-11-26,310.0706,7.628,1535,en,,Animation; Comedy; Adventure; Family; Mystery,Mystery
1419406,movie,The Shadow's Edge,2025-08-16,294.2576,7.165,398,zh,,Action; Crime; Drama; Thriller,Action
1419406,movie,The Shadow's Edge,2025-08-16,294.2576,7.165,398,zh,,Action; Crime; Drama; Thriller,Crime
1419406,movie,The Shadow's Edge,2025-08-16,294.2576,7.165,398,zh,,Action; Crime; Drama; Thriller,Drama
1419406,movie,The Shadow's Edge,2025-08-16,294.2576,7.165,398,zh,,Action; Crime; Drama; Thriller,Thriller
1601243,movie,Oscar Shaw,2026-01-09,263.8292,5.8,14,en,,Action; Crime; Thriller,Action
1601243,movie,Oscar Shaw,2026-01-09,263.8292,5.8,14,en,,Action; Crime; Thriller,Crime
1601243,movie,Oscar Shaw,2026-01-09,263.8292,5.8,14,en,,Action; Crime; Thriller,Thriller
1271895,movie,96 Minutes,2025-09-05,217.5385,5.769,26,zh,,Action; Crime; Romance,Action
1271895,movie,96 Minutes,2025-09-05,217.5385,5.769,26,zh,,Action; Crime; Romance,Crime
1271895,movie,96 Minutes,2025-09-05,217.5385,5.769,26,zh,,Action; Crime; Romance,Romance
1310568,movie,Murder at the Embassy,2025-11-14,208.9002,5.5,30,en,,Mystery; Thriller; Action,Mystery
1310568,movie,Murder at the Embassy,2025-11-14,208.9002,5.5,30,en,,Mystery; Thriller; Action,Thriller
1310568,movie,Murder at the Embassy,2025-11-14,208.9002,5.5,30,en,,Mystery; Thriller; Action,Action
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,206.1322,8.137,186,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,206.1322,8.137,186,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Sci-Fi & Fantasy
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,206.1322,8.137,186,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Action & Adventure
1234731,movie,Anaconda,2025-12-24,187.931,5.842,462,en,,Adventure; Comedy; Horror,Adventure
1234731,movie,Anaconda,2025-12-24,187.931,5.842,462,en,,Adventure; Comedy; Horror,Comedy
1234731,movie,Anaconda,2025-12-24,187.931,5.842,462,en,,Adventure; Comedy; Horror,Horror
