id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,overview,poster_path,backdrop_path,tmdb_url,week
1434,tv,Family Guy,1999-01-31,96.0266,7.393,4707,en,Animation; Comedy,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",/8o8kiBkWFK3gVytHdyzEWUBXVfK.jpg,/jbTqU6BJMufoMnPSlO4ThrcXs3Y.jpg,https://www.themoviedb.org/tv/1434,2025-11-17
617126,movie,The Fantastic 4: First Steps,2025-07-23,95.0618,7.058,2391,en,Science Fiction; Adventure; Action,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",/2iZ0pypKSnSvwtj1u7Bth3xm6ru.jpg,/6eLtIyVHCzqoQdsLfOPPNVTxsn7.jpg,https://www.themoviedb.org/movie/617126,2025-11-17
803796,movie,KPop Demon Hunters,2025-06-20,93.0985,8.222,1897,en,Fantasy; Music; Comedy; Animation,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",/zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg,/w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg,https://www.themoviedb.org/movie/803796,2025-11-17
1419406,movie,The Shadow's Edge,2025-08-16,91.3713,7.2,45,zh,Action; Crime; Thriller,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,https://www.themoviedb.org/movie/1419406,2025-11-17
301001,tv,Mrs Playmen,2025-11-12,80.9612,7.9,9,it,Drama,"Betrayed by her husband, a woman must step up and run an erotic magazine that becomes a symbol of empowerment in '70s Rome. Inspired by true events.",/aLwRvsuKhMjrCrAUUuw61cSuiOi.jpg,/rk93UkcE9kw6cHiaYFcWQvNUuuq.jpg,https://www.themoviedb.org/tv/301001,2025-11-17
274979,tv,The Crystal Cuckoo,2025-11-14,80.0064,5.5,8,es,Drama,"Hoping to learn more about her heart donor, a young doctor arrives in a mountain town where decades of mysterious tragedies plague the small community.",/tsY3Kl793m2sXTMkQTajz0EOqCl.jpg,/kuvIwh28N9iGsJak8Q8fx3ABKer.jpg,https://www.themoviedb.org/tv/274979,2025-11-17
1084242,movie,Zootopia 2,2025-11-26,79.457,0.0,0,en,Animation; Family; Comedy; Adventure; Mystery,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find their partnership isn't as solid as they thought when Chief Bogo orders them to join the Partners in Crisis counseling program. But it doesn't take long for their partnership to be put to the ultimate test when they find themselves on the twisting trail of a mystery tied to the arrival of a venomous snake in the animal metropolis.",/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,/7nfpkR9XsQ1lBNCXSSHxGV7Dkxe.jpg,https://www.themoviedb.org/movie/1084242,2025-11-17
250504,tv,The Beast in Me,2025-11-13,79.0715,7.2,19,en,Mystery; Drama,"A famous author is pulled into a twisted mind game with her rich, powerful new neighbor — who might be a murderer.",/jxf7JCfIMvGONWTNUIJ068sFixK.jpg,/ylW0m5UztyyL4YFu8EC6usUHLF.jpg,https://www.themoviedb.org/tv/250504,2025-11-17
1425122,movie,A Very Jonas Christmas Movie,2025-11-10,78.978,7.432,22,en,Comedy; Music,"Kevin, Nick, and Joe Jonas face a series of escalating obstacles as they struggle to make it from London to New York in time to spend Christmas with their families.",/kGLgaDrYWmTAdRFzGP5pBquRnhO.jpg,/ajYw16ISz3qsdYTg4zy5rob1iAQ.jpg,https://www.themoviedb.org/movie/1425122,2025-11-17
63926,tv,One-Punch Man,2015-10-05,74.2617,8.399,3899,ja,Animation; Comedy; Action & Adventure; Sci-Fi & Fantasy,"The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression.",/dT10AxJIXVvRwFAew4tt2RhzJrD.jpg,/3AXLSxMuqyZt8HyrKKfrcJtkswD.jpg,https://www.themoviedb.org/tv/63926,2025-11-17
