id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres,genre
1290821,movie,Shelter,2026-01-28,388.3942,6.787,223,en,,Action; Crime; Thriller,Action
1290821,movie,Shelter,2026-01-28,388.3942,6.787,223,en,,Action; Crime; Thriller,Crime
1290821,movie,Shelter,2026-01-28,388.3942,6.787,223,en,,Action; Crime; Thriller,Thriller
799882,movie,The Bluff,2026-02-17,245.9062,6.189,188,en,,Action; Thriller,Action
799882,movie,The Bluff,2026-02-17,245.9062,6.189,188,en,,Action; Thriller,Thriller
1199193,movie,Pose,2026-02-25,239.8635,7.368,19,en,,Thriller,Thriller
255661,tv,Young Sherlock,2026-03-04,188.8957,8.8,34,en,GB,Action & Adventure; Mystery,Action & Adventure
255661,tv,Young Sherlock,2026-03-04,188.8957,8.8,34,en,GB,Action & Adventure; Mystery,Mystery
1159559,movie,Scream 7,2026-02-25,179.2451,5.945,238,en,,Horror; Mystery; Crime,Horror
1159559,movie,Scream 7,2026-02-25,179.2451,5.945,238,en,,Horror; Mystery; Crime,Mystery
1159559,movie,Scream 7,2026-02-25,179.2451,5.945,238,en,,Horror; Mystery; Crime,Crime
680493,movie,Return to Silent Hill,2026-01-21,162.2613,5.048,240,en,,Mystery; Drama; Horror,Mystery
680493,movie,Return to Silent Hill,2026-01-21,162.2613,5.048,240,en,,Mystery; Drama; Horror,Drama
680493,movie,Return to Silent Hill,2026-01-21,162.2613,5.048,240,en,,Mystery; Drama; Horror,Horror
290856,tv,Marshals,2026-03-01,158.9808,8.0,46,en,US,Drama; Western,Drama
290856,tv,Marshals,2026-03-01,158.9808,8.0,46,en,US,Drama; Western,Western
1401778,movie,Turbulence,2025-11-26,152.807,5.709,55,en,,Thriller; Action; Adventure; Drama; Fantasy,Thriller
1401778,movie,Turbulence,2025-11-26,152.807,5.709,55,en,,Thriller; Action; Adventure; Drama; Fantasy,Action
1401778,movie,Turbulence,2025-11-26,152.807,5.709,55,en,,Thriller; Action; Adventure; Drama; Fantasy,Adventure
1401778,movie,Turbulence,2025-11-26,152.807,5.709,55,en,,Thriller; Action; Adventure; Drama; Fantasy,Drama
1401778,movie,Turbulence,2025-11-26,152.807,5.709,55,en,,Thriller; Action; Adventure; Drama; Fantasy,Fantasy
1634301,movie,Vanaveera,2026-02-13,145.3455,6.0,2,te,,Action; Drama,Action
1634301,movie,Vanaveera,2026-02-13,145.3455,6.0,2,te,,Action; Drama,Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,143.3767,8.47,607,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,143.3767,8.47,607,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Sci-Fi & Fantasy
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,143.3767,8.47,607,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Action & Adventure
1236153,movie,Mercy,2026-01-20,133.6746,7.08,650,en,,Science Fiction; Action; Thriller,Science Fiction
1236153,movie,Mercy,2026-01-20,133.6746,7.08,650,en,,Science Fiction; Action; Thriller,Action
1236153,movie,Mercy,2026-01-20,133.6746,7.08,650,en,,Science Fiction; Action; Thriller,Thriller
1088434,movie,Hellfire,2026-02-05,129.7752,6.947,47,en,,Action; Thriller,Action
1088434,movie,Hellfire,2026-02-05,129.7752,6.947,47,en,,Action; Thriller,Thriller
1084242,movie,Zootopia 2,2025-11-26,125.1053,7.614,1946,en,,Animation; Comedy; Adventure; Family; Mystery,Animation
1084242,movie,Zootopia 2,2025-11-26,125.1053,7.614,1946,en,,Animation; Comedy; Adventure; Family; Mystery,Comedy
1084242,movie,Zootopia 2,2025-11-26,125.1053,7.614,1946,en,,Animation; Comedy; Adventure; Family; Mystery,Adventure
1084242,movie,Zootopia 2,2025-11-26,125.1053,7.614,1946,en,,Animation; Comedy; Adventure; Family; Mystery,Family
1084242,movie,Zootopia 2,2025-11-26,125.1053,7.614,1946,en,,Animation; Comedy; Adventure; Family; Mystery,Mystery
1266798,movie,Dog 51,2025-10-15,117.5584,6.265,215,fr,,Thriller; Science Fiction; Crime; Action,Thriller
1266798,movie,Dog 51,2025-10-15,117.5584,6.265,215,fr,,Thriller; Science Fiction; Crime; Action,Science Fiction
1266798,movie,Dog 51,2025-10-15,117.5584,6.265,215,fr,,Thriller; Science Fiction; Crime; Action,Crime
1266798,movie,Dog 51,2025-10-15,117.5584,6.265,215,fr,,Thriller; Science Fiction; Crime; Action,Action
300054,tv,BAKI-DOU: The Invincible Samurai,2026-02-26,108.3747,8.313,8,ja,JP,Animation; Action & Adventure,Animation
300054,tv,BAKI-DOU: The Invincible Samurai,2026-02-26,108.3747,8.313,8,ja,JP,Animation; Action & Adventure,Action & Adventure
840464,movie,Greenland 2: Migration,2026-01-07,106.1658,6.485,553,en,,Adventure; Thriller; Science Fiction,Adventure
840464,movie,Greenland 2: Migration,2026-01-07,106.1658,6.485,553,en,,Adventure; Thriller; Science Fiction,Thriller
840464,movie,Greenland 2: Migration,2026-01-07,106.1658,6.485,553,en,,Adventure; Thriller; Science Fiction,Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,102.065,7.274,1859,en,,Science Fiction; Adventure; Fantasy,Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,102.065,7.274,1859,en,,Science Fiction; Adventure; Fantasy,Adventure
