id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1265609,movie,War Machine,2026-02-12,679.3122,7.174,630,en,,Action; Science Fiction; Thriller
1290821,movie,Shelter,2026-01-28,298.361,6.6,281,en,,Action; Crime; Thriller
799882,movie,The Bluff,2026-02-17,212.6212,6.294,243,en,,Action; Thriller
1193501,movie,Whistle,2026-01-20,147.7604,6.135,130,en,,Horror; Mystery
1084242,movie,Zootopia 2,2025-11-26,141.4769,7.6,2062,en,,Animation; Comedy; Adventure; Family; Mystery
1327819,movie,Hoppers,2026-03-04,139.8558,7.7,155,en,,Animation; Family; Science Fiction; Comedy; Adventure
840464,movie,Greenland 2: Migration,2026-01-07,134.0983,6.456,584,en,,Adventure; Thriller; Science Fiction
1236153,movie,Mercy,2026-01-20,131.3973,7.1,703,en,,Science Fiction; Action; Thriller
1088434,movie,Hellfire,2026-02-05,117.9879,6.915,53,en,,Action; Thriller
240740,tv,Scarpetta,2026-03-11,113.0779,6.15,30,en,US,Drama; Crime; Mystery
1168190,movie,The Wrecking Crew,2026-01-28,112.9434,6.898,768,en,,Action; Comedy; Crime; Mystery
255661,tv,Young Sherlock,2026-03-04,111.9221,8.129,93,en,GB,Action & Adventure; Mystery
1634301,movie,Vanaveera,2026-02-13,110.4783,7.0,3,te,,Action; Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,104.8101,8.455,650,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure
281016,tv,Boyfriend on Demand,2026-03-06,104.552,8.5,37,ko,KR,Comedy; Sci-Fi & Fantasy; Drama
680493,movie,Return to Silent Hill,2026-01-21,103.4239,5.1,261,en,,Mystery; Drama; Horror
83533,movie,Avatar: Fire and Ash,2025-12-17,102.2688,7.265,1886,en,,Science Fiction; Adventure; Fantasy
696393,movie,Cold Storage,2026-01-22,96.2965,6.545,146,en,,Horror; Science Fiction; Comedy
1159559,movie,Scream 7,2026-02-25,95.8309,5.9,292,en,,Horror; Mystery; Crime
290856,tv,Marshals,2026-03-01,95.5263,7.645,62,en,US,Drama
279388,tv,Pursuit of Jade,2026-03-06,95.3903,7.2,12,zh,CN,Drama
1368166,movie,The Housemaid,2025-12-18,86.6755,7.25,1477,en,,Drama; Mystery; Thriller
1119449,movie,"Good Luck, Have Fun, Don't Die",2026-02-13,86.318,7.2,92,en,,Science Fiction; Action; Comedy
1159831,movie,The Bride!,2026-03-04,73.6679,6.289,147,en,,Science Fiction; Horror; Fantasy
285739,tv,Vladimir,2026-03-05,73.2211,7.179,39,en,US,Drama
687163,movie,Project Hail Mary,2026-03-13,70.7127,9.1,9,en,,Science Fiction; Adventure; Mystery
1242898,movie,Predator: Badlands,2025-11-05,66.4686,7.707,2345,en,,Action; Science Fiction; Adventure
1426964,movie,State of Fear,2026-02-10,64.9711,5.4,56,pt,,Action; Thriller; Crime; Drama
1584215,movie,The Internship,2026-01-13,64.6588,6.091,55,en,,Action
1387382,movie,Hunting Season,2025-12-05,64.4664,7.003,148,en,,Action; Drama; Thriller
1306368,movie,The Rip,2026-01-13,64.2995,7.069,1356,en,,Action; Thriller; Crime
240459,tv,Spartacus: House of Ashur,2025-12-05,62.8727,6.858,218,en,US,Drama; Action & Adventure
254953,tv,Rooster,2026-03-08,62.3706,7.143,14,en,US,Comedy
1171145,movie,Crime 101,2026-02-11,61.7919,7.0,151,en,,Crime; Thriller
313298,tv,The Dinosaurs,2026-03-06,60.423,7.735,49,en,GB,Documentary
1234731,movie,Anaconda,2025-12-24,60.2232,5.853,764,en,,Adventure; Comedy; Horror; Action
1167307,movie,David,2025-12-14,59.4311,8.1,102,en,,Animation; Family; Drama
1448560,movie,Wildcat,2025-11-19,58.7604,6.197,132,en,,Action; Thriller
1317288,movie,Marty Supreme,2025-12-19,58.5726,7.5,1257,en,,Drama
273160,tv,The Beauty,2026-01-21,58.3653,6.227,97,en,US,Drama; Sci-Fi & Fantasy
306215,tv,You are the One I Love,2026-02-12,58.1013,7.5,2,tr,TR,Drama; Soap
