id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1339713,movie,Obsession,2026-05-13,817.0684,7.9,706,en,,Horror; Thriller
1057265,movie,Peddi,2026-06-03,764.3619,6.3,31,te,,Action; Drama
1308553,movie,Hai Jawani Toh Ishq Hona Hai,2026-06-04,548.4534,5.4,15,hi,,Romance; Comedy
273240,tv,Off Campus,2026-05-13,477.2643,9.014,433,en,US,Drama
936075,movie,Michael,2026-04-22,460.9936,8.523,1943,en,,Music; Drama
931285,movie,Mortal Kombat II,2026-05-06,439.2321,7.98,1058,en,,Action; Fantasy; Adventure
276161,tv,Teach You a Lesson,2026-06-05,373.5768,9.343,191,ko,KR,Action & Adventure; Drama; Comedy
1367220,movie,Karuppu,2026-05-14,332.5493,7.6,12,ta,,Action; Fantasy
1228710,movie,The Mandalorian and Grogu,2026-05-20,323.5333,6.8,453,en,,Action; Adventure; Science Fiction
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,321.1512,8.167,2547,en,,Family; Comedy; Adventure; Fantasy; Animation
1275779,movie,Disclosure Day,2026-06-10,310.9838,7.2,155,en,,Action; Science Fiction; Thriller
454639,movie,Masters of the Universe,2026-06-03,293.9049,7.296,181,en,,Action; Fantasy; Science Fiction
1304313,movie,Lee Cronin's The Mummy,2026-04-15,250.2756,8.066,1773,en,,Horror; Mystery
1103473,movie,KD – The Devil,2026-04-30,244.9469,7.5,2,kn,,History; Crime; Action; Fantasy
1523145,movie,Your Heart Will Be Broken,2026-03-26,227.796,6.8,86,ru,,Romance; Drama
1358005,movie,Office Romance,2026-06-04,206.8939,6.5,165,en,,Romance; Comedy
220102,tv,Spider-Noir,2026-05-25,203.6153,8.555,492,en,US,Drama; Mystery; Crime
1293550,movie,Bandar,2026-06-05,190.5784,7.0,1,hi,,Thriller
1122573,movie,In the Grey,2026-05-13,189.5511,6.621,206,en,,Action; Thriller
1628448,movie,Maa Behen,2026-06-04,182.5159,7.1,7,hi,,Comedy; Thriller; Drama
1439930,movie,The Punisher: One Last Kill,2026-05-12,179.3429,8.358,1563,en,,Action; Drama; Crime
1007757,movie,Swapped,2026-05-01,178.2927,8.964,1657,en,,Adventure; Animation; Family; Fantasy
687163,movie,Project Hail Mary,2026-03-15,173.9269,8.671,4935,en,,Science Fiction; Adventure
1582770,movie,Dhurandhar: The Revenge,2026-03-18,161.5366,7.3,114,hi,,Action; Crime; Thriller
1433117,movie,Kara,2026-04-30,159.2554,6.1,22,ta,,Crime; Drama; Thriller
1380291,movie,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,150.0464,7.092,533,en,,Action; Thriller
260592,tv,Every Year After,2026-06-10,142.3429,7.95,10,en,US,Drama
299167,tv,Dutton Ranch,2026-05-15,139.971,9.325,246,en,US,Western; Drama
1083381,movie,Backrooms,2026-05-27,138.8373,6.849,488,en,,Horror; Mystery; Science Fiction
1430077,movie,Hokum,2026-04-29,132.5827,6.7,211,en,,Horror
1327819,movie,Hoppers,2026-03-04,124.7007,8.178,1552,en,,Adventure; Animation; Comedy; Family; Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,124.3444,7.573,3417,en,,Science Fiction; Adventure; Fantasy
1288341,movie,Seven Snipers,2026-04-30,121.9525,5.9,27,en,,Action; Thriller
1280738,movie,The Furious,2026-06-10,121.135,8.0,13,en,,Action; Crime
1273221,movie,Scary Movie,2026-06-03,119.9883,5.727,247,en,,Comedy; Horror
310935,tv,Girl from Nowhere: The Reset,2026-03-07,108.5384,7.8,44,th,TH,Drama; Mystery
1694978,movie,Chum,2026-05-27,108.0169,5.1,11,en,,Horror
1390300,movie,Over Your Dead Body,2026-03-14,100.9032,6.744,164,en,,Action; Comedy; Thriller
284725,tv,Not Suitable for Work,2026-06-02,99.7291,3.4,14,en,US,Comedy
1472951,movie,Infiltrate,2026-04-10,84.5478,5.471,17,en,,Action; Thriller
1560681,movie,Colors of Evil: Black,2026-06-10,81.9945,6.632,19,pl,,Thriller; Mystery; Crime
1318447,movie,Apex,2026-04-24,81.0805,6.799,1436,en,,Action; Thriller
1297842,movie,GOAT,2026-02-11,79.9198,8.142,773,en,,Animation; Comedy; Family
277439,tv,Cape Fear,2026-06-04,79.0304,6.167,30,en,US,Drama; Crime
1239134,movie,Bhooth Bangla,2026-04-16,75.9257,6.409,11,hi,,Horror; Comedy
1220522,movie,Dacoit,2026-04-10,74.4808,6.2,4,te,,Action; Romance; Thriller
308014,tv,Berlin and the Lady with an Ermine,2026-05-15,74.1913,8.231,156,es,ES,Drama; Crime; Action & Adventure
270476,tv,Widow's Bay,2026-04-28,74.0728,8.3,131,en,US,Drama; Mystery; Comedy
290856,tv,Marshals,2026-03-01,71.9176,7.998,281,en,US,Drama; Crime; Action & Adventure
1290821,movie,Shelter,2026-01-28,64.6137,7.64,1206,en,,Action; Crime; Thriller
1274706,movie,The Marked Woman,2026-06-05,61.8604,5.114,44,es,,Thriller; Crime
1325734,movie,The Drama,2026-03-26,60.6659,6.949,1005,en,,Romance; Comedy; Drama
1292415,movie,Beast,2026-04-10,57.0767,6.31,50,en,,Action; Drama
1116201,movie,Iron Lung,2026-01-30,56.6209,7.076,249,en,,Horror; Mystery; Science Fiction
279388,tv,Pursuit of Jade,2026-03-06,56.6115,8.0,68,zh,CN,Drama
1159559,movie,Scream 7,2026-02-25,56.0706,6.167,1014,en,,Horror; Mystery; Crime
