id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1084242,movie,Zootopia 2,2025-11-26,438.7685,7.6,97,en,,Animation; Family; Comedy; Adventure; Mystery
1419406,movie,The Shadow's Edge,2025-08-16,384.0332,6.332,122,zh,,Action; Crime; Thriller
1309012,movie,Altered,2025-09-18,333.1496,6.571,35,en,,Science Fiction; Action
1363123,movie,The Family Plan 2,2025-11-11,315.5307,6.827,208,en,,Action; Comedy
200875,tv,IT: Welcome to Derry,2025-10-26,280.2295,8.055,519,en,US,Drama; Mystery
967941,movie,Wicked: For Good,2025-11-19,230.1578,6.8,297,en,,Fantasy; Adventure; Romance
1062722,movie,Frankenstein,2025-10-17,203.5756,7.769,1926,en,,Drama; Horror; Fantasy
1196573,movie,She Rides Shotgun,2025-07-31,187.5383,7.095,79,en,,Action; Thriller; Crime
1469354,movie,Border Hunters,2025-10-20,178.4749,8.0,3,en,,Action; Thriller
1242898,movie,Predator: Badlands,2025-11-05,165.9267,7.4,470,en,,Action; Science Fiction; Adventure
755898,movie,War of the Worlds,2025-07-29,160.2495,4.298,757,en,,Science Fiction; Thriller
1539104,movie,JUJUTSU KAISEN: Execution -Shibuya Incident x The Culling Game Begins-,2025-11-07,151.8235,4.526,38,ja,,Animation; Action
1054867,movie,One Battle After Another,2025-09-23,148.4789,7.492,1679,en,,Action; Thriller; Crime
1311031,movie,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,125.397,7.591,580,ja,,Animation; Action; Fantasy; Thriller
425274,movie,Now You See Me: Now You Don't,2025-11-12,117.6375,6.29,276,en,,Thriller; Crime; Mystery
701387,movie,Bugonia,2025-10-23,116.4051,7.557,471,en,,Comedy; Crime; Science Fiction
1426968,movie,The Gentleman,2025-09-26,110.9716,6.136,12,es,,Action; Crime; Thriller
1248226,movie,Playdate,2025-11-05,105.4043,6.15,314,en,,Action; Comedy; Family
1327862,movie,Regretting You,2025-10-22,101.8958,7.1,103,en,,Romance; Drama
1197137,movie,Black Phone 2,2025-10-15,96.4666,6.853,614,en,,Horror; Thriller
803796,movie,KPop Demon Hunters,2025-06-20,93.3081,8.212,1955,en,,Fantasy; Music; Comedy; Animation
1244531,movie,Beast of War,2025-09-18,89.5233,6.477,44,en,,Thriller; Horror; War; Action
225171,tv,Pluribus,2025-11-06,84.919,7.984,159,en,US,Drama; Sci-Fi & Fantasy
1246049,movie,Dracula,2025-07-30,84.0388,7.061,457,fr,,Horror; Fantasy; Romance
301507,tv,Heated Rivalry,2025-11-28,82.9552,6.2,5,en,CA,Drama
1218925,movie,Chainsaw Man - The Movie: Reze Arc,2025-09-19,79.7814,7.826,221,ja,,Animation; Action; Romance; Fantasy
1241983,movie,Train Dreams,2025-11-05,78.7,7.395,148,en,,Drama
278635,tv,"My Gift Lvl 9999 Unlimited Gacha: Backstabbed in a Backwater Dungeon, I'm Out for Revenge!",2025-10-03,73.0698,8.568,22,ja,JP,Animation; Action & Adventure; Sci-Fi & Fantasy; Drama
302463,tv,Dinastía Casillas,2025-10-07,71.9232,8.42,181,es,US,Drama; Action & Adventure; Mystery
1237082,movie,31 Minutes: One Hot Christmas,2025-11-19,71.001,7.947,19,es,,Family; Comedy; Adventure; Music
239385,tv,The Manipulated,2025-11-05,65.6968,8.867,30,ko,KR,Crime; Drama
937941,movie,Shelby Oaks,2025-10-02,64.1432,5.699,93,en,,Horror; Mystery
617126,movie,The Fantastic 4: First Steps,2025-07-23,63.7082,7.045,2505,en,,Science Fiction; Adventure; Action
1038392,movie,The Conjuring: Last Rites,2025-09-03,63.1137,7.0,1370,en,,Horror
1522377,movie,Two Worlds One Wish,2025-11-24,62.1491,7.786,7,tr,,Romance; Drama
1218762,movie,Jingle Bell Heist,2025-11-25,59.8114,6.321,28,en,,Romance; Crime; Comedy
252193,tv,Last Samurai Standing,2025-11-13,59.1777,7.99,98,ja,JP,Action & Adventure; Drama
221079,tv,The Last Frontier,2025-10-09,58.7317,7.348,92,en,US,Crime; Drama
1448560,movie,Wildcat,2025-11-19,58.5984,6.722,9,en,,Action; Thriller; Crime
1223601,movie,Sisu: Road to Revenge,2025-10-21,56.1225,7.4,27,fi,,Action; War
272418,tv,Robin Hood,2025-11-02,51.4232,7.954,54,en,US,Drama; Action & Adventure
1242419,movie,Roofman,2025-10-08,50.4939,7.2,219,en,,Comedy; Drama; Crime
1429738,movie,Tee Yai: Born to Be Bad,2025-11-12,49.713,4.847,37,th,,Crime; Action; Drama
1429520,movie,Sidelined 2: Intercepted,2025-11-27,49.4597,8.0,2,en,,Romance; Comedy
1161617,movie,Code 3,2025-09-12,48.851,6.698,129,en,,Action; Comedy
288577,tv,Room of Guilty Pleasure,2025-10-06,48.4526,8.0,1,ja,JP,Animation
1299655,movie,Blue Moon,2025-10-17,47.628,6.984,31,en,,Drama
798645,movie,The Running Man,2025-11-11,47.6204,6.8,217,en,,Action; Thriller; Science Fiction
1234821,movie,Jurassic World Rebirth,2025-07-01,47.437,6.376,2537,en,,Science Fiction; Adventure; Action
1061474,movie,Superman,2025-07-09,46.3235,7.414,3882,en,,Science Fiction; Adventure; Action
1511789,movie,Captain Hook: The Cursed Tides,2025-07-11,46.0071,4.975,40,en,,Adventure; Action; Horror
256721,tv,Gachiakuta,2025-07-06,44.8628,8.672,148,ja,JP,Animation; Action & Adventure; Drama; Sci-Fi & Fantasy
1265063,movie,After the Hunt,2025-10-09,44.8113,6.0,232,en,,Drama
639988,movie,No Other Choice,2025-09-24,44.7985,7.772,57,ko,,Crime; Thriller; Comedy
1214130,movie,Stitch Head,2025-10-16,42.0516,7.0,13,en,,Animation; Adventure; Family; Comedy
911430,movie,F1,2025-06-25,41.3315,7.806,2658,en,,Action; Drama
1156594,movie,Our Fault,2025-10-15,40.6549,7.485,530,es,,Romance; Drama
1087192,movie,How to Train Your Dragon,2025-06-06,39.1221,7.989,2212,en,,Fantasy; Family; Action; Adventure
1280450,movie,Stolen Girl,2025-09-04,38.7646,6.5,86,en,,Thriller; Action; Adventure
304790,tv,Daughter of Fire,2025-11-19,38.7025,6.8,4,es,AR,Drama
250504,tv,The Beast in Me,2025-11-13,38.1705,7.283,60,en,US,Drama; Mystery
1215106,movie,Ko Ga Loak Village,2025-11-06,37.2886,3.8,5,th,,Comedy; Horror
507244,movie,Afterburn,2025-08-20,36.9436,6.898,122,en,,Science Fiction; Action; Comedy
1175942,movie,The Bad Guys 2,2025-07-24,36.3991,7.754,534,en,,Family; Comedy; Crime; Adventure; Animation
273247,tv,The Lowdown,2025-09-23,35.3285,6.159,22,en,US,Drama
1007734,movie,Nobody 2,2025-08-13,35.0376,7.061,1001,en,,Action; Thriller
1035259,movie,The Naked Gun,2025-07-30,34.7571,6.516,1113,en,,Action; Comedy; Crime
1117857,movie,In Your Dreams,2025-11-07,33.8332,7.111,104,en,,Animation; Family; Comedy; Adventure; Fantasy
1316147,movie,Grand Prix of Europe,2025-07-24,33.6897,7.3,20,en,,Animation; Adventure; Comedy
271015,tv,Love & Crown,2025-11-14,33.4681,8.7,3,zh,CN,Drama
1257009,movie,Primitive War,2025-08-21,33.1613,6.842,168,en,,Action; Horror; War
533533,movie,TRON: Ares,2025-10-08,31.5134,6.337,416,en,,Science Fiction; Adventure; Action
256226,tv,Dear X,2025-11-06,31.2778,8.6,5,ko,KR,Drama; Crime
1010756,movie,The Strangers: Chapter 2,2025-09-25,31.1949,6.057,141,en,,Horror; Thriller
219080,tv,The Mighty Nein,2025-11-19,30.5624,8.636,11,en,US,Animation; Sci-Fi & Fantasy
541671,movie,Ballerina,2025-06-04,30.2736,7.317,1997,en,,Action; Thriller; Crime
338969,movie,The Toxic Avenger Unrated,2025-08-28,30.0954,6.165,207,en,,Action; Comedy; Science Fiction
1229910,movie,Kryptic,2025-06-09,29.668,5.0,21,en,,Horror; Thriller; Drama
157239,tv,Alien: Earth,2025-08-12,29.1447,7.441,806,en,US,Sci-Fi & Fantasy; Drama
302723,tv,Just Alice,2025-11-05,29.1331,7.625,8,es,CO,Drama; Comedy; Soap
1022787,movie,Elio,2025-06-18,28.9015,6.974,680,en,,Family; Comedy; Adventure; Animation; Science Fiction
281011,tv,Would You Marry Me?,2025-10-10,28.8033,7.633,30,ko,KR,Comedy; Drama
256624,tv,Talamasca: The Secret Order,2025-10-19,28.4925,6.424,33,en,US,Sci-Fi & Fantasy
1355666,movie,Love Untangled,2025-08-28,28.1729,8.42,131,ko,,Romance; Drama; Comedy
749170,movie,Heads of State,2025-06-24,27.7914,6.864,856,en,,Action; Thriller; Comedy
1323475,movie,Champagne Problems,2025-11-18,27.5385,6.081,68,en,,Romance; Comedy
604079,movie,The Long Walk,2025-09-10,27.5192,6.939,832,en,,Thriller; Science Fiction; Horror
1072699,movie,Inside Furioza,2025-10-14,27.4623,6.545,66,pl,,Action; Crime; Thriller
274979,tv,The Crystal Cuckoo,2025-11-14,27.3221,6.391,32,es,ES,Drama; Crime; Mystery
1425122,movie,A Very Jonas Christmas Movie,2025-11-10,27.3202,6.5,58,en,,Comedy; Music
812583,movie,Wake Up Dead Man: A Knives Out Mystery,2025-11-26,26.9849,7.727,11,en,,Comedy; Mystery; Crime
1396371,movie,Les irresponsables,2025-07-24,26.4959,5.0,3,ca,,Comedy; Drama
1280282,movie,Gabby's Dollhouse: The Movie,2025-09-13,26.4882,6.702,42,en,,Family; Comedy; Adventure; Animation
1078605,movie,Weapons,2025-08-04,26.443,7.3,2421,en,,Horror; Mystery
281013,tv,Dynamite Kiss,2025-11-12,26.3406,7.9,7,ko,KR,Drama; Comedy
286801,tv,Monster: The Ed Gein Story,2025-10-03,26.1266,7.316,394,en,US,Drama; Crime
255719,tv,The Seduction,2025-11-14,25.5158,5.5,2,fr,FR,Drama
1517874,movie,November,2025-10-02,25.2549,0.0,0,es,,Drama
1214931,movie,Nuremberg,2025-11-06,24.4531,7.34,25,en,,History; Drama; War; Thriller
246386,tv,All Her Fault,2025-11-07,24.2473,8.568,37,en,GB,Drama; Mystery; Crime
253811,tv,Tougen Anki,2025-07-11,24.1006,8.048,52,ja,JP,Animation; Mystery; Action & Adventure
941109,movie,Play Dirty,2025-09-30,24.0319,6.635,473,en,,Crime
1376434,movie,Predator: Killer of Killers,2025-06-05,23.9799,7.872,971,en,,Animation; Action; Science Fiction; Thriller
1580234,movie,Akin Ang Gabi,2025-11-21,23.806,0.0,0,tl,,Drama
292035,tv,Revenged Love,2025-06-16,23.7704,8.26,52,zh,CN,Drama; Action & Adventure
1081208,movie,The Dogs,2025-06-13,23.666,6.5,20,en,,Horror; Thriller; Mystery
1125257,movie,Freakier Friday,2025-08-06,23.5648,6.893,474,en,,Comedy; Fantasy; Family
1119878,movie,Ice Road: Vengeance,2025-06-27,23.4474,6.3,521,en,,Action; Thriller; Drama
1107216,movie,Pets on a Train,2025-07-02,23.4123,6.9,28,fr,,Animation; Comedy; Adventure; Thriller
1135303,movie,The Senior,2025-09-18,23.173,6.233,15,en,,Drama
1519168,movie,The Jester 2,2025-09-15,22.8234,6.2,37,en,,Horror; Thriller; Crime
1071585,movie,M3GAN 2.0,2025-06-25,22.4692,7.378,993,en,,Action; Science Fiction; Thriller
1208348,movie,Rental Family,2025-11-20,21.8422,7.286,14,en,,Drama; Comedy
986206,movie,Night Carnage,2025-07-29,21.8268,5.8,60,fr,,Action; Horror; Romance
271607,tv,The Fragrant Flower Blooms with Dignity,2025-07-06,21.6521,8.7,130,ja,JP,Animation; Drama
1267319,movie,Mantis,2025-09-26,21.561,6.231,108,ko,,Action; Crime; Thriller
760329,movie,The Smashing Machine,2025-10-01,21.507,6.516,254,en,,History; Drama
282471,tv,ClaireBell,2025-10-27,21.2715,8.6,5,th,TH,Drama
284644,tv,My Status as an Assassin Obviously Exceeds the Hero's,2025-10-07,21.2113,8.4,11,ja,JP,Animation; Action & Adventure; Sci-Fi & Fantasy
