id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres,genre
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,589.0971,6.745,591,en,,Family; Comedy; Adventure; Fantasy; Animation,Family
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,589.0971,6.745,591,en,,Family; Comedy; Adventure; Fantasy; Animation,Comedy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,589.0971,6.745,591,en,,Family; Comedy; Adventure; Fantasy; Animation,Adventure
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,589.0971,6.745,591,en,,Family; Comedy; Adventure; Fantasy; Animation,Fantasy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,589.0971,6.745,591,en,,Family; Comedy; Adventure; Fantasy; Animation,Animation
1523145,movie,Your Heart Will Be Broken,2026-03-26,344.7401,6.9,73,ru,,Romance; Drama,Romance
1523145,movie,Your Heart Will Be Broken,2026-03-26,344.7401,6.9,73,ru,,Romance; Drama,Drama
1198994,movie,Send Help,2026-01-22,321.0363,7.045,1064,en,,Horror; Thriller; Comedy,Horror
1198994,movie,Send Help,2026-01-22,321.0363,7.045,1064,en,,Horror; Thriller; Comedy,Thriller
1198994,movie,Send Help,2026-01-22,321.0363,7.045,1064,en,,Horror; Thriller; Comedy,Comedy
83533,movie,Avatar: Fire and Ash,2025-12-17,241.6669,7.373,2704,en,,Science Fiction; Adventure; Fantasy,Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,241.6669,7.373,2704,en,,Science Fiction; Adventure; Fantasy,Adventure
83533,movie,Avatar: Fire and Ash,2025-12-17,241.6669,7.373,2704,en,,Science Fiction; Adventure; Fantasy,Fantasy
1613798,movie,Vengeance,2026-02-26,214.5423,6.873,75,es,,Action; Thriller,Action
1613798,movie,Vengeance,2026-02-26,214.5423,6.873,75,es,,Action; Thriller,Thriller
687163,movie,Project Hail Mary,2026-03-15,195.9863,8.216,1689,en,,Science Fiction; Adventure,Science Fiction
687163,movie,Project Hail Mary,2026-03-15,195.9863,8.216,1689,en,,Science Fiction; Adventure,Adventure
936075,movie,Michael,2026-04-22,187.1165,7.34,125,en,,Music; Drama,Music
936075,movie,Michael,2026-04-22,187.1165,7.34,125,en,,Music; Drama,Drama
1470130,movie,The Mortuary Assistant,2026-02-13,182.5378,5.4,79,en,,Horror; Mystery,Horror
1470130,movie,The Mortuary Assistant,2026-02-13,182.5378,5.4,79,en,,Horror; Mystery,Mystery
1290821,movie,Shelter,2026-01-28,174.2039,6.8,593,en,,Action; Crime; Thriller,Action
1290821,movie,Shelter,2026-01-28,174.2039,6.8,593,en,,Action; Crime; Thriller,Crime
1290821,movie,Shelter,2026-01-28,174.2039,6.8,593,en,,Action; Crime; Thriller,Thriller
1327819,movie,Hoppers,2026-03-04,166.7708,7.577,510,en,,Animation; Family; Science Fiction; Comedy; Adventure,Animation
1327819,movie,Hoppers,2026-03-04,166.7708,7.577,510,en,,Animation; Family; Science Fiction; Comedy; Adventure,Family
1327819,movie,Hoppers,2026-03-04,166.7708,7.577,510,en,,Animation; Family; Science Fiction; Comedy; Adventure,Science Fiction
1327819,movie,Hoppers,2026-03-04,166.7708,7.577,510,en,,Animation; Family; Science Fiction; Comedy; Adventure,Comedy
1327819,movie,Hoppers,2026-03-04,166.7708,7.577,510,en,,Animation; Family; Science Fiction; Comedy; Adventure,Adventure
1297842,movie,GOAT,2026-02-11,140.9838,7.896,436,en,,Animation; Comedy; Family,Animation
1297842,movie,GOAT,2026-02-11,140.9838,7.896,436,en,,Animation; Comedy; Family,Comedy
1297842,movie,GOAT,2026-02-11,140.9838,7.896,436,en,,Animation; Comedy; Family,Family
1171145,movie,Crime 101,2026-02-11,136.9843,6.956,766,en,,Crime; Thriller,Crime
1171145,movie,Crime 101,2026-02-11,136.9843,6.956,766,en,,Crime; Thriller,Thriller
1304313,movie,Lee Cronin's The Mummy,2026-04-15,135.6857,6.9,131,en,,Horror; Mystery,Horror
1304313,movie,Lee Cronin's The Mummy,2026-04-15,135.6857,6.9,131,en,,Horror; Mystery,Mystery
1641319,movie,Sniper: No Nation,2026-04-07,130.6529,6.2,34,en,,Action; Thriller,Action
1641319,movie,Sniper: No Nation,2026-04-07,130.6529,6.2,34,en,,Action; Thriller,Thriller
840464,movie,Greenland 2: Migration,2026-01-07,126.7004,6.445,910,en,,Adventure; Thriller; Science Fiction,Adventure
840464,movie,Greenland 2: Migration,2026-01-07,126.7004,6.445,910,en,,Adventure; Thriller; Science Fiction,Thriller
840464,movie,Greenland 2: Migration,2026-01-07,126.7004,6.445,910,en,,Adventure; Thriller; Science Fiction,Science Fiction
1084577,movie,Balls Up,2026-04-15,118.2784,5.672,119,en,,Comedy; Action; Adventure,Comedy
1084577,movie,Balls Up,2026-04-15,118.2784,5.672,119,en,,Comedy; Action; Adventure,Action
1084577,movie,Balls Up,2026-04-15,118.2784,5.672,119,en,,Comedy; Action; Adventure,Adventure
1290417,movie,Thrash,2026-04-10,116.7267,5.971,411,en,,Horror; Thriller,Horror
1290417,movie,Thrash,2026-04-10,116.7267,5.971,411,en,,Horror; Thriller,Thriller
1010755,movie,The Strangers: Chapter 3,2026-02-05,115.0707,5.627,118,en,,Horror; Thriller,Horror
1010755,movie,The Strangers: Chapter 3,2026-02-05,115.0707,5.627,118,en,,Horror; Thriller,Thriller
278573,tv,Perfect Crown,2026-04-10,111.6015,8.071,14,ko,KR,Comedy; Drama,Comedy
278573,tv,Perfect Crown,2026-04-10,111.6015,8.071,14,ko,KR,Comedy; Drama,Drama
224263,tv,Stranger Things: Tales from '85,2026-04-23,108.927,6.1,11,en,US,Animation; Sci-Fi & Fantasy; Mystery; Action & Adventure,Animation
224263,tv,Stranger Things: Tales from '85,2026-04-23,108.927,6.1,11,en,US,Animation; Sci-Fi & Fantasy; Mystery; Action & Adventure,Sci-Fi & Fantasy
224263,tv,Stranger Things: Tales from '85,2026-04-23,108.927,6.1,11,en,US,Animation; Sci-Fi & Fantasy; Mystery; Action & Adventure,Mystery
224263,tv,Stranger Things: Tales from '85,2026-04-23,108.927,6.1,11,en,US,Animation; Sci-Fi & Fantasy; Mystery; Action & Adventure,Action & Adventure
1601797,movie,¿Quieres Ser Mi Novia?,2026-02-12,105.0466,8.236,36,es,,Comedy; Romance,Comedy
1601797,movie,¿Quieres Ser Mi Novia?,2026-02-12,105.0466,8.236,36,es,,Comedy; Romance,Romance
1084242,movie,Zootopia 2,2025-11-26,101.5087,7.605,2598,en,,Animation; Family; Mystery; Adventure; Comedy,Animation
1084242,movie,Zootopia 2,2025-11-26,101.5087,7.605,2598,en,,Animation; Family; Mystery; Adventure; Comedy,Family
1084242,movie,Zootopia 2,2025-11-26,101.5087,7.605,2598,en,,Animation; Family; Mystery; Adventure; Comedy,Mystery
1084242,movie,Zootopia 2,2025-11-26,101.5087,7.605,2598,en,,Animation; Family; Mystery; Adventure; Comedy,Adventure
1084242,movie,Zootopia 2,2025-11-26,101.5087,7.605,2598,en,,Animation; Family; Mystery; Adventure; Comedy,Comedy
1159559,movie,Scream 7,2026-02-25,96.3161,6.057,787,en,,Horror; Mystery; Crime,Horror
1159559,movie,Scream 7,2026-02-25,96.3161,6.057,787,en,,Horror; Mystery; Crime,Mystery
1159559,movie,Scream 7,2026-02-25,96.3161,6.057,787,en,,Horror; Mystery; Crime,Crime
1480387,movie,undertone,2026-03-12,95.7112,6.546,97,en,,Horror; Mystery,Horror
1480387,movie,undertone,2026-03-12,95.7112,6.546,97,en,,Horror; Mystery,Mystery
262848,tv,Unchosen,2026-04-21,90.08,8.375,8,en,GB,Drama,Drama
1368166,movie,The Housemaid,2025-12-18,86.662,7.226,1907,en,,Mystery; Thriller,Mystery
1368166,movie,The Housemaid,2025-12-18,86.662,7.226,1907,en,,Mystery; Thriller,Thriller
1107166,movie,Psycho Killer,2026-02-19,77.1308,5.611,36,en,,Crime; Horror; Mystery,Crime
1107166,movie,Psycho Killer,2026-02-19,77.1308,5.611,36,en,,Crime; Horror; Mystery,Horror
1107166,movie,Psycho Killer,2026-02-19,77.1308,5.611,36,en,,Crime; Horror; Mystery,Mystery
279471,tv,Malcolm in the Middle: Life's Still Unfair,2026-04-10,76.5875,8.097,247,en,US,Comedy; Drama,Comedy
279471,tv,Malcolm in the Middle: Life's Still Unfair,2026-04-10,76.5875,8.097,247,en,US,Comedy; Drama,Drama
1193501,movie,Whistle,2026-01-20,75.9829,6.0,249,en,,Horror; Mystery,Horror
1193501,movie,Whistle,2026-01-20,75.9829,6.0,249,en,,Horror; Mystery,Mystery
1234731,movie,Anaconda,2025-12-24,74.9808,5.866,1040,en,,Adventure; Comedy; Horror,Adventure
1234731,movie,Anaconda,2025-12-24,74.9808,5.866,1040,en,,Adventure; Comedy; Horror,Comedy
1234731,movie,Anaconda,2025-12-24,74.9808,5.866,1040,en,,Adventure; Comedy; Horror,Horror
1265609,movie,War Machine,2026-02-12,72.4243,7.234,1500,en,,Action; Science Fiction; Thriller,Action
1265609,movie,War Machine,2026-02-12,72.4243,7.234,1500,en,,Action; Science Fiction; Thriller,Science Fiction
1265609,movie,War Machine,2026-02-12,72.4243,7.234,1500,en,,Action; Science Fiction; Thriller,Thriller
290856,tv,Marshals,2026-03-01,72.4042,7.073,124,en,US,Drama,Drama
1659087,movie,180,2026-04-16,72.1869,5.53,50,en,,Thriller; Crime; Drama,Thriller
1659087,movie,180,2026-04-16,72.1869,5.53,50,en,,Thriller; Crime; Drama,Crime
1659087,movie,180,2026-04-16,72.1869,5.53,50,en,,Thriller; Crime; Drama,Drama
1242898,movie,Predator: Badlands,2025-11-05,69.3161,7.7,2648,en,,Action; Science Fiction; Adventure,Action
1242898,movie,Predator: Badlands,2025-11-05,69.3161,7.7,2648,en,,Action; Science Fiction; Adventure,Science Fiction
1242898,movie,Predator: Badlands,2025-11-05,69.3161,7.7,2648,en,,Action; Science Fiction; Adventure,Adventure
1511057,movie,Roommates,2026-04-13,68.8293,6.4,59,en,,Comedy,Comedy
1418657,movie,The Yeti,2026-04-04,66.2854,6.764,36,en,,Horror; Thriller,Horror
1418657,movie,The Yeti,2026-04-04,66.2854,6.764,36,en,,Horror; Thriller,Thriller
680493,movie,Return to Silent Hill,2026-01-21,63.3482,5.24,408,en,,Mystery; Drama; Horror,Mystery
680493,movie,Return to Silent Hill,2026-01-21,63.3482,5.24,408,en,,Mystery; Drama; Horror,Drama
680493,movie,Return to Silent Hill,2026-01-21,63.3482,5.24,408,en,,Mystery; Drama; Horror,Horror
662707,movie,Starbright,2026-02-27,61.5033,6.833,15,en,,Adventure; Action,Adventure
662707,movie,Starbright,2026-02-27,61.5033,6.833,15,en,,Adventure; Action,Action
1367642,movie,Reminders of Him,2026-03-11,59.2352,7.195,151,en,,Romance; Drama,Romance
1367642,movie,Reminders of Him,2026-03-11,59.2352,7.195,151,en,,Romance; Drama,Drama
1084187,movie,Pretty Lethal,2026-03-13,58.3331,6.776,303,en,,Music; Thriller; Action; Horror,Music
1084187,movie,Pretty Lethal,2026-03-13,58.3331,6.776,303,en,,Music; Thriller; Action; Horror,Thriller
1084187,movie,Pretty Lethal,2026-03-13,58.3331,6.776,303,en,,Music; Thriller; Action; Horror,Action
1084187,movie,Pretty Lethal,2026-03-13,58.3331,6.776,303,en,,Music; Thriller; Action; Horror,Horror
245318,tv,Margo's Got Money Troubles,2026-04-14,57.1608,8.0,18,en,US,Drama; Comedy,Drama
245318,tv,Margo's Got Money Troubles,2026-04-14,57.1608,8.0,18,en,US,Drama; Comedy,Comedy
1115544,movie,Mike & Nick & Nick & Alice,2026-03-14,55.1384,6.748,264,en,,Comedy; Science Fiction; Crime,Comedy
1115544,movie,Mike & Nick & Nick & Alice,2026-03-14,55.1384,6.748,264,en,,Comedy; Science Fiction; Crime,Science Fiction
1115544,movie,Mike & Nick & Nick & Alice,2026-03-14,55.1384,6.748,264,en,,Comedy; Science Fiction; Crime,Crime
1159831,movie,The Bride!,2026-03-04,53.2215,6.3,355,en,,Science Fiction; Horror; Fantasy,Science Fiction
1159831,movie,The Bride!,2026-03-04,53.2215,6.3,355,en,,Science Fiction; Horror; Fantasy,Horror
1159831,movie,The Bride!,2026-03-04,53.2215,6.3,355,en,,Science Fiction; Horror; Fantasy,Fantasy
306215,tv,The One I Love,2026-02-12,53.0065,8.0,2,tr,TR,Drama; Soap,Drama
306215,tv,The One I Love,2026-02-12,53.0065,8.0,2,tr,TR,Drama; Soap,Soap
1268127,movie,Humint,2026-02-11,51.7662,7.2,105,ko,,Thriller; Action; Drama,Thriller
1268127,movie,Humint,2026-02-11,51.7662,7.2,105,ko,,Thriller; Action; Drama,Action
1268127,movie,Humint,2026-02-11,51.7662,7.2,105,ko,,Thriller; Action; Drama,Drama
279388,tv,Pursuit of Jade,2026-03-06,51.3304,7.8,60,zh,CN,Drama,Drama
