id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1169516,movie,Welcome to the Jungle,2026-06-25,762.7315,0.0,0,hi,,Action; Comedy; Adventure; Crime
1392469,movie,Cocktail 2,2026-06-19,554.7579,5.857,14,hi,,Romance; Comedy
1339713,movie,Obsession,2026-05-13,498.2651,7.9,985,en,,Horror; Thriller
284631,tv,Raakh,2026-06-12,388.9799,9.0,4,hi,IN,Crime; Drama
936075,movie,Michael,2026-04-22,372.0563,8.692,3011,en,,Music; Drama
1084244,movie,Toy Story 5,2026-06-17,336.0809,7.45,307,en,,Animation; Family; Comedy; Adventure
273240,tv,Off Campus,2026-05-13,300.5273,8.922,549,en,US,Drama
1081003,movie,Supergirl,2026-06-23,280.7207,6.3,125,en,,Action; Adventure; Science Fiction
931285,movie,Mortal Kombat II,2026-05-06,274.8922,7.995,1663,en,,Action; Fantasy; Adventure
1127384,movie,Deep Water,2026-04-30,261.9257,6.183,63,en,,Thriller; Horror
1239134,movie,Bhooth Bangla,2026-04-16,258.5491,5.6,40,hi,,Horror; Comedy
1275779,movie,Disclosure Day,2026-06-10,258.2243,6.703,675,en,,Science Fiction; Thriller
1523145,movie,Your Heart Will Be Broken,2026-03-26,257.0895,7.029,102,ru,,Romance
1301421,movie,The Sheep Detectives,2026-04-30,212.1504,7.6,299,en,,Comedy; Crime; Mystery; Family
299167,tv,Dutton Ranch,2026-05-15,209.0823,9.286,308,en,US,Western; Drama
278178,tv,I Will Find You,2026-06-18,182.6235,8.4,126,en,US,Drama; Mystery; Crime
276161,tv,Teach You a Lesson,2026-06-05,182.322,9.479,495,ko,KR,Action & Adventure; Drama; Comedy
1228710,movie,The Mandalorian and Grogu,2026-05-20,180.214,6.7,522,en,,Action; Adventure; Science Fiction
1515729,movie,Blast,2026-05-28,177.8721,7.1,10,ta,,Drama; Action; Family; Thriller
614945,movie,Voicemails for Isabelle,2026-06-20,176.9736,8.185,238,en,,Romance; Comedy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,176.8494,8.2,2820,en,,Family; Comedy; Adventure; Fantasy; Animation
1477317,movie,Your Fault: London,2026-06-17,160.0509,7.549,123,en,,Romance; Drama
1280738,movie,The Furious,2026-06-10,153.12,7.7,62,zh,,Action; Crime
1367220,movie,Karuppu,2026-05-14,152.2876,6.7,18,ta,,Action; Fantasy
1083381,movie,Backrooms,2026-05-27,150.3394,6.885,733,en,,Horror; Mystery; Science Fiction
288603,tv,Never-Ending Summer,2026-06-16,147.8939,9.0,2,zh,CN,Drama
1007757,movie,Swapped,2026-05-01,141.9467,8.961,1796,en,,Adventure; Animation; Family; Fantasy
1103473,movie,KD – The Devil,2026-04-30,138.2598,7.5,2,kn,,History; Crime; Action; Fantasy
315038,tv,Resort,2026-03-13,136.2407,0.0,0,ta,IN,Comedy; Drama
284725,tv,Not Suitable for Work,2026-06-02,135.8357,5.8,31,en,US,Comedy
1304313,movie,Lee Cronin's The Mummy,2026-04-15,135.4728,8.024,1971,en,,Horror; Mystery
1057265,movie,Peddi,2026-06-03,135.2493,6.029,52,te,,Action; Drama
687163,movie,Project Hail Mary,2026-03-15,132.5652,8.689,5388,en,,Science Fiction; Adventure
1439930,movie,The Punisher: One Last Kill,2026-05-12,126.4529,8.346,1712,en,,Action; Drama; Crime
1582770,movie,Dhurandhar: The Revenge,2026-03-18,116.6782,7.341,123,hi,,Action; Crime; Thriller
322430,tv,The Polygamist,2026-06-12,114.9259,8.326,43,zu,ZA,Drama; Soap
454639,movie,Masters of the Universe,2026-06-03,111.4584,7.225,304,en,,Action; Fantasy; Science Fiction
1122573,movie,In the Grey,2026-05-13,111.0813,6.64,271,en,,Action; Thriller
1431068,movie,Main Vaapas Aaunga,2026-06-10,104.6241,6.857,7,hi,,Romance; Drama
1327819,movie,Hoppers,2026-03-04,101.61,8.195,1722,en,,Adventure; Animation; Comedy; Family; Science Fiction
1308553,movie,Hai Jawani Toh Ishq Hona Hai,2026-06-04,101.1079,5.5,20,hi,,Romance; Comedy
1227241,movie,Maa Inti Bangaram,2026-06-18,94.5165,6.3,3,te,,Action; Thriller; Drama
1273221,movie,Scary Movie,2026-06-03,93.7696,5.527,354,en,,Comedy; Horror
1451344,movie,Husbands in Action,2026-06-15,93.0509,7.66,47,ko,,Comedy; Action
1380291,movie,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,92.0072,7.043,610,en,,Action; Thriller
1288341,movie,Seven Snipers,2026-04-30,88.1066,5.7,38,en,,Action; Thriller
949536,movie,Kill Code,2026-04-16,86.5836,5.545,11,en,,Action; Thriller; Science Fiction
1694978,movie,Chum,2026-05-27,83.4965,4.8,19,en,,Horror
1413976,movie,Citizen Vigilante,2026-06-19,83.3073,6.821,56,en,,Thriller; Action; Crime
1430077,movie,Hokum,2026-04-29,78.1877,6.912,399,en,,Horror
296285,tv,Oasis,2026-06-19,76.0945,6.885,13,es,ES,Crime; Mystery; Drama
220102,tv,Spider-Noir,2026-05-25,74.2845,8.512,598,en,US,Drama; Mystery; Crime
1315772,movie,Minions & Monsters,2026-06-24,73.0032,6.9,11,en,,Adventure; Animation; Comedy; Family; Fantasy
311858,tv,Prisoner,2026-04-30,71.8856,5.4,21,en,GB,Crime; Action & Adventure
1438392,movie,Euphoria,2026-02-06,71.0516,3.75,2,te,,Drama
1486860,movie,Haunted 3D: Echoes of the Past,2026-06-12,69.4573,10.0,1,hi,,Horror; Romance; Thriller
1318447,movie,Apex,2026-04-24,65.9215,6.821,1527,en,,Action; Thriller
270476,tv,Widow's Bay,2026-04-28,64.7096,8.2,221,en,US,Drama; Comedy; Mystery
1340206,movie,Tuner,2026-05-21,63.3833,7.104,96,en,,Thriller; Crime; Drama
1297842,movie,GOAT,2026-02-11,63.1497,8.117,840,en,,Animation; Comedy; Family
289763,tv,See You at Work Tomorrow!,2026-06-22,62.4365,8.2,6,ko,KR,Comedy; Drama
260592,tv,Every Year After,2026-06-10,61.6632,8.387,53,en,US,Drama
300054,tv,BAKI-DOU: The Invincible Samurai,2026-02-26,58.1538,8.994,79,ja,JP,Animation; Action & Adventure
314402,tv,"Crazy Love, Moo-Moo!",2026-05-09,57.3102,7.5,2,th,TH,Drama
840464,movie,Greenland 2: Migration,2026-01-07,56.5065,6.434,1243,en,,Adventure; Thriller; Science Fiction
1358005,movie,Office Romance,2026-06-04,55.8373,6.516,254,en,,Romance; Comedy
290856,tv,Marshals,2026-03-01,52.6497,7.964,292,en,US,Drama; Crime; Action & Adventure
1284016,movie,Power Ballad,2026-05-18,50.8888,7.172,32,en,,Comedy; Music; Drama
1318413,movie,Pressure,2026-05-25,50.8339,7.617,90,en,,Thriller; History; War
288659,tv,Agents of the Four Seasons Dance of Spring,2026-03-29,50.6288,7.6,10,ja,JP,Animation; Drama; Sci-Fi & Fantasy
278605,tv,Archives: The Nanyang Mystery,2026-06-11,49.8331,7.0,4,zh,CN,Action & Adventure; Mystery
277439,tv,Cape Fear,2026-06-04,49.5282,6.8,49,en,US,Drama; Crime
912378,movie,Dridam,2026-05-08,47.7675,5.0,5,ml,,Crime; Thriller
1159559,movie,Scream 7,2026-02-25,47.3752,6.2,1077,en,,Horror; Mystery; Crime
1472951,movie,Infiltrate,2026-04-10,47.1852,5.7,20,en,,Action; Thriller
283891,tv,The Holy Grail of Eris,2026-01-08,46.9419,7.211,19,ja,JP,Animation; Mystery; Sci-Fi & Fantasy
283428,tv,The Ramparts of Ice,2026-04-02,46.4715,8.4,17,ja,JP,Animation; Drama
1351908,movie,Bharat Bhhagya Viddhaata,2026-06-12,45.1912,0.0,0,hi,,Drama; Thriller
1292415,movie,Beast,2026-04-10,44.9474,6.25,60,en,,Action; Drama
1293550,movie,Bandar,2026-06-05,44.9224,6.5,2,hi,,Thriller
1390300,movie,Over Your Dead Body,2026-03-14,44.6143,6.558,335,en,,Action; Comedy; Thriller
1699820,movie,Vibeland Chronicles,2026-01-02,44.5783,4.0,1,en,,Thriller
291947,tv,Inseparable,2026-06-24,44.312,8.0,1,zh,CN,Mystery
1658216,movie,Stepdaddy,2026-04-04,44.187,5.3,3,tl,,Drama
1290821,movie,Shelter,2026-01-28,43.8481,7.679,1303,en,,Action; Crime; Thriller
317883,tv,Torn Apart,2026-05-31,43.7399,6.0,5,tr,TR,Drama; Comedy
1613798,movie,Vengeance,2026-02-26,43.712,7.49,262,es,,Action; Thriller
1679791,movie,M4M: Motive for Murder,2026-05-07,42.1853,0.0,0,te,,Crime; Mystery; Thriller
279388,tv,Pursuit of Jade,2026-03-06,42.0822,8.0,69,zh,CN,Drama
1375646,movie,Colony,2026-05-21,41.7275,7.0,71,ko,,Action; Thriller; Horror
308014,tv,Berlin and the Lady with an Ermine,2026-05-15,41.5422,8.207,176,es,ES,Drama; Crime; Action & Adventure
1564614,movie,Leviticus,2026-06-17,40.344,7.0,20,en,,Horror; Romance
196950,tv,Witch Hat Atelier,2026-04-06,40.2764,9.0,106,ja,JP,Animation; Drama; Sci-Fi & Fantasy
1305781,movie,Blades of the Guardians,2026-02-17,39.3211,7.0,72,zh,,Action; Adventure
1543151,movie,King Kaew,2026-01-29,39.2811,2.5,2,th,,Horror; Crime; Drama
1265609,movie,War Machine,2026-02-12,39.2447,7.404,1961,en,,Action; Science Fiction; Thriller
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,38.287,8.4,947,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure
1198994,movie,Send Help,2026-01-22,37.8821,7.042,1827,en,,Horror; Thriller; Comedy
1171145,movie,Crime 101,2026-02-11,37.8193,6.997,1105,en,,Crime; Thriller
1020047,movie,In the Hand of Dante,2026-06-12,37.2248,4.733,15,en,,Drama; Crime
1599189,movie,剑来院线剧场版 十三之争,2026-05-01,37.1629,0.0,0,zh,,Animation; Action; Adventure
1628448,movie,Maa Behen,2026-06-04,37.1145,6.7,11,hi,,Comedy; Thriller; Drama
1510767,movie,Athiradi,2026-05-14,36.8845,7.2,9,ml,,Comedy; Drama
1325734,movie,The Drama,2026-04-01,36.8087,7.0,1084,en,,Romance; Comedy; Drama
1084187,movie,Pretty Lethal,2026-03-13,35.9619,6.769,422,en,,Music; Thriller; Action; Horror
847742,movie,Drishyam 3,2026-05-21,35.6039,7.278,9,ml,,Crime; Drama; Thriller
1630423,movie,My Dearest Assassin,2026-05-06,35.3054,8.634,254,th,,Action; Drama; Romance
259837,tv,The WONDERfools,2026-05-15,35.3018,9.066,188,ko,KR,Action & Adventure; Comedy; Sci-Fi & Fantasy; Drama
1463681,movie,Southern Scares,2026-01-10,34.4672,4.0,1,en,,Horror; Mystery
303143,tv,My Royal Nemesis,2026-05-08,34.2864,8.607,56,ko,KR,Drama; Comedy; Sci-Fi & Fantasy
258865,tv,Love Beyond the Grave,2026-03-28,34.2284,7.9,10,zh,CN,Drama; Sci-Fi & Fantasy
1314481,movie,The Devil Wears Prada 2,2026-04-29,34.1099,6.546,837,en,,Comedy; Drama
316830,tv,Seeking Persephone,2026-03-01,33.215,8.8,9,en,US,Drama
1227877,movie,I Love Boosters,2026-05-21,32.8315,5.86,50,en,,Comedy; Science Fiction; Crime
1292695,movie,They Will Kill You,2026-03-25,32.7297,7.016,822,en,,Horror; Comedy; Action
1110034,movie,Kraken,2026-02-06,31.368,6.425,173,no,,Horror; Action; Thriller
292696,tv,The First Jasmine,2026-06-09,30.3425,9.8,4,zh,CN,Drama
1266127,movie,Ready or Not: Here I Come,2026-03-19,29.8413,7.702,1105,en,,Thriller; Horror; Comedy
1168190,movie,The Wrecking Crew,2026-01-28,29.7056,7.029,1089,en,,Action; Comedy; Crime; Mystery
1083884,movie,Signal One,2026-06-05,29.5568,6.84,25,en,,Mystery; Science Fiction
1330021,movie,Remarkably Bright Creatures,2026-05-07,29.4338,8.57,667,en,,Drama; Mystery
278573,tv,Perfect Crown,2026-04-10,29.3664,8.96,150,ko,KR,Comedy; Drama
1220522,movie,Dacoit,2026-04-10,29.3656,6.6,5,te,,Action; Romance; Thriller
1207162,movie,Rise of the Conqueror,2026-04-09,29.3551,6.176,17,en,,History; Action; Adventure; War
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,28.9364,7.133,1328,en,,Horror; Thriller; Science Fiction
1428990,movie,This Is Not a Test,2026-02-20,28.7377,5.443,61,en,,Thriller; Horror
1480387,movie,undertone,2026-03-12,28.6924,6.1,275,en,,Horror; Mystery
308277,tv,Mr. Kurosaki's Pure Love Never Stops,2026-01-07,28.443,0.0,0,ja,JP,Drama
312493,tv,Viral Hit,2026-06-11,28.3255,7.6,27,ja,JP,Drama; Action & Adventure
278158,tv,Ticket to Heaven,2026-05-30,28.3241,9.6,5,th,TH,Drama
1146058,movie,The Pout-Pout Fish,2026-01-01,28.2967,5.8,10,en,,Animation; Family; Adventure; Comedy
