id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1290821,movie,Shelter,2026-01-28,434.2537,6.93,129,en,,Action; Crime; Thriller
1236153,movie,Mercy,2026-01-20,379.2699,7.131,553,en,,Science Fiction; Action; Thriller
799882,movie,The Bluff,2026-02-17,358.4436,6.055,64,en,,Action; Thriller
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,318.2584,8.5,520,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure
1088434,movie,Hellfire,2026-02-05,211.2571,7.118,34,en,,Action; Thriller
680493,movie,Return to Silent Hill,2026-01-21,174.3106,5.068,206,en,,Mystery; Drama; Horror
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,172.8274,7.2,654,en,,Horror; Thriller; Science Fiction
1084242,movie,Zootopia 2,2025-11-26,159.2142,7.602,1872,en,,Animation; Comedy; Adventure; Family; Mystery
840464,movie,Greenland 2: Migration,2026-01-07,149.5099,6.504,519,en,,Adventure; Thriller; Science Fiction
241372,tv,56 Days,2026-02-18,138.425,5.598,46,en,US,Crime; Drama; Mystery
1368166,movie,The Housemaid,2025-12-18,126.3124,7.246,1329,en,,Drama; Mystery; Thriller
1159559,movie,Scream 7,2026-02-25,118.8518,5.776,78,en,,Horror; Mystery; Crime
83533,movie,Avatar: Fire and Ash,2025-12-17,114.9577,7.276,1832,en,,Science Fiction; Adventure; Fantasy
1253000,movie,Deathstalker,2025-10-10,113.6076,6.298,52,en,,Fantasy; Action; Adventure
1168190,movie,The Wrecking Crew,2026-01-28,111.8111,6.93,698,en,,Action; Comedy; Crime; Mystery
1242898,movie,Predator: Badlands,2025-11-05,108.8435,7.714,2176,en,,Action; Science Fiction; Adventure
1316092,movie,"""Wuthering Heights""",2026-02-11,101.4285,6.533,393,en,,Romance; Drama
1401778,movie,Turbulence,2025-11-26,99.8461,5.451,51,en,,Thriller; Action; Adventure; Drama; Fantasy
1266798,movie,Dog 51,2025-10-15,90.621,6.331,201,fr,,Thriller; Science Fiction; Crime; Action
1242937,movie,The Dreadful,2026-02-20,83.7101,6.56,42,en,,Horror
804370,movie,Arco,2025-10-22,82.9666,7.8,85,fr,,Animation; Science Fiction; Adventure; Fantasy; Family
306215,tv,You are the One I Love,2026-02-12,82.767,7.5,2,tr,TR,Drama; Soap
1634858,movie,Cuerno Azulado,2025-09-10,82.7444,7.2,12,es,,Action
1428862,movie,Firebreak,2026-02-19,82.6507,6.3,46,es,,Thriller; Drama
1297842,movie,GOAT,2026-02-11,76.7705,7.5,76,en,,Animation; Comedy; Family; Action
240459,tv,Spartacus: House of Ashur,2025-12-05,71.4723,6.8,208,en,US,Drama; Action & Adventure
1549519,movie,Sex Trip,2026-02-20,70.883,7.0,2,tl,,Drama
1317288,movie,Marty Supreme,2025-12-19,69.4426,7.532,1007,en,,Drama
302060,tv,Watching You,2025-10-03,68.8696,6.5,4,en,AU,Drama; Crime
235685,tv,The Pendragon Cycle: Rise of the Merlin,2026-01-22,66.7228,8.5,29,en,US,Sci-Fi & Fantasy; Action & Adventure; Family; Drama
858024,movie,Hamnet,2025-11-26,65.0703,7.725,762,en,,Drama; Romance; History
1110034,movie,Kraken,2026-02-06,63.3975,8.0,5,no,,Horror; Action; Thriller
1601243,movie,Oscar Shaw,2026-01-09,61.2992,6.478,23,en,,Action; Crime; Thriller; Western
291339,tv,Memory of a Killer,2026-01-25,61.2578,7.7,20,en,US,Crime; Drama
1327688,movie,One Mile: Chapter One,2026-02-20,61.1729,7.3,33,en,,Action; Crime
1600028,movie,A Father's Miracle,2025-12-25,59.4628,7.9,52,es,,Drama
1317672,movie,Love Me Love Me,2026-02-12,59.2249,5.629,143,en,,Romance; Drama
1375831,movie,Diabolic,2025-11-20,58.9053,7.1,15,en,,Horror
1234731,movie,Anaconda,2025-12-24,57.3451,5.817,671,en,,Adventure; Comedy; Horror; Action
1171145,movie,Crime 101,2026-02-11,56.6803,7.0,105,en,,Crime; Thriller
1306368,movie,The Rip,2026-01-13,54.7183,7.072,1270,en,,Action; Thriller; Crime
1511417,movie,Bāhubali: The Epic,2025-10-29,54.6064,6.0,31,te,,Action; Drama
295778,tv,Scrubs,2026-02-25,54.0202,7.5,13,en,US,Comedy
