id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,718.7308,6.82,482,en,,Family; Comedy; Adventure; Fantasy; Animation
1523145,movie,Your Heart Will Be Broken,2026-03-26,377.5413,7.213,61,ru,,Romance; Drama
83533,movie,Avatar: Fire and Ash,2025-12-17,306.1776,7.4,2614,en,,Science Fiction; Adventure; Fantasy
687163,movie,Project Hail Mary,2026-03-15,263.6881,8.213,1481,en,,Science Fiction; Adventure
1290417,movie,Thrash,2026-04-10,222.0529,5.981,295,en,,Horror; Thriller
1327819,movie,Hoppers,2026-03-04,220.5682,7.6,474,en,,Animation; Family; Science Fiction; Comedy; Adventure
1470130,movie,The Mortuary Assistant,2026-02-13,214.7007,5.529,69,en,,Horror; Mystery
1084577,movie,Balls Up,2026-04-15,212.7175,5.571,42,en,,Comedy; Action; Adventure
1290821,movie,Shelter,2026-01-28,198.6925,6.791,554,en,,Action; Crime; Thriller
840464,movie,Greenland 2: Migration,2026-01-07,194.8899,6.489,870,en,,Adventure; Thriller; Science Fiction
1641319,movie,Sniper: No Nation,2026-04-07,184.9982,6.155,29,en,,Action; Thriller
279471,tv,Malcolm in the Middle: Life's Still Unfair,2026-04-10,177.5041,8.051,217,en,US,Comedy; Drama
1171145,movie,Crime 101,2026-02-11,170.9671,6.992,706,en,,Crime; Thriller
278573,tv,Perfect Crown,2026-04-10,161.2287,8.056,9,ko,KR,Comedy; Drama
1297842,movie,GOAT,2026-02-11,145.776,7.923,405,en,,Animation; Comedy; Family
1304313,movie,Lee Cronin's The Mummy,2026-04-15,132.0094,7.0,56,en,,Horror; Mystery
1159559,movie,Scream 7,2026-02-25,122.3201,6.028,752,en,,Horror; Mystery; Crime
1198994,movie,Send Help,2026-01-22,117.9549,7.03,994,en,,Horror; Thriller; Comedy
1049471,movie,Outcome,2026-04-06,107.7994,5.4,97,en,,Comedy; Drama
1265609,movie,War Machine,2026-02-12,107.6893,7.242,1453,en,,Action; Science Fiction; Thriller
680493,movie,Return to Silent Hill,2026-01-21,101.865,5.006,345,en,,Mystery; Drama; Horror
1010755,movie,The Strangers: Chapter 3,2026-02-05,99.9048,5.7,111,en,,Horror; Thriller
1480387,movie,undertone,2026-03-12,99.1276,6.7,58,en,,Horror; Mystery
1084242,movie,Zootopia 2,2025-11-26,98.0254,7.602,2561,en,,Animation; Family; Mystery; Adventure; Comedy
1193501,movie,Whistle,2026-01-20,94.6697,6.035,241,en,,Horror; Mystery
1084187,movie,Pretty Lethal,2026-03-13,92.6789,6.85,276,en,,Music; Thriller; Action; Horror
1159831,movie,The Bride!,2026-03-04,91.3881,6.217,323,en,,Science Fiction; Horror; Fantasy
1418657,movie,The Yeti,2026-04-04,90.1198,6.8,27,en,,Horror; Thriller
1368166,movie,The Housemaid,2025-12-18,89.1327,7.206,1844,en,,Mystery; Thriller
1268127,movie,Humint,2026-02-11,78.9949,7.275,91,ko,,Thriller; Action; Drama
245318,tv,Margo's Got Money Troubles,2026-04-14,76.8912,7.438,8,en,US,Drama; Comedy
1266127,movie,Ready or Not: Here I Come,2026-03-19,75.4319,7.029,209,en,,Horror; Comedy
1115544,movie,Mike & Nick & Nick & Alice,2026-03-14,74.7487,6.763,236,en,,Comedy; Science Fiction; Crime
290856,tv,Marshals,2026-03-01,72.9124,7.076,119,en,US,Drama
662707,movie,Starbright,2026-02-27,71.0633,7.458,12,en,,Adventure; Action
1234731,movie,Anaconda,2025-12-24,70.5638,5.874,1006,en,,Adventure; Comedy; Horror
306215,tv,The One I Love,2026-02-12,70.4677,7.5,2,tr,TR,Drama; Soap
1316092,movie,"""Wuthering Heights""",2026-02-11,66.8158,6.528,778,en,,Romance; Drama
278275,tv,Veil of Shadows,2026-04-01,66.0788,9.4,8,zh,CN,Drama; Sci-Fi & Fantasy
1610418,movie,The House on Haunted Grounds,2026-01-09,62.8259,5.583,6,en,,Horror
258036,tv,The Audacity,2026-04-05,57.295,7.2,4,en,US,Drama; Comedy
1367642,movie,Reminders of Him,2026-03-11,56.9625,7.153,121,en,,Romance; Drama
1472951,movie,Infiltrate,2026-04-10,56.4441,5.3,8,en,,Action; Thriller
279388,tv,Pursuit of Jade,2026-03-06,55.5273,7.7,52,zh,CN,Drama
1646787,movie,Sundutan,2026-03-06,55.4046,4.0,1,tl,,Drama
289219,tv,Star Wars: Maul - Shadow Lord,2026-04-06,54.3157,7.551,39,en,US,Animation; Sci-Fi & Fantasy; Action & Adventure
875828,movie,Peaky Blinders: The Immortal Man,2026-03-05,49.9926,7.2,783,en,,Crime; Drama
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,49.8691,7.164,1025,en,,Horror; Thriller; Science Fiction
1168190,movie,The Wrecking Crew,2026-01-28,48.9812,6.897,893,en,,Action; Comedy; Crime; Mystery
1325734,movie,The Drama,2026-03-26,48.4686,7.0,416,en,,Romance; Comedy; Drama
1236153,movie,Mercy,2026-01-20,48.3615,6.975,1103,en,,Science Fiction; Action; Thriller; Crime
1088434,movie,Hellfire,2026-02-05,48.3599,6.792,72,en,,Action; Thriller
281231,tv,The Epoch of Miyu,2026-04-13,48.0735,9.0,1,zh,CN,Drama; Family
1658216,movie,Stepdaddy,2026-04-04,46.0979,5.0,2,tl,,Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,44.2158,8.423,794,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure
307959,tv,LBW: Love Beyond Wicket,2026-01-01,44.1681,0.0,0,ta,IN,Drama; Comedy
1339876,movie,Mardaani 3,2026-01-30,43.7797,7.26,25,hi,,Action; Crime; Thriller
269161,tv,Bandi,2026-04-09,43.7563,6.225,20,fr,FR,Drama
1242898,movie,Predator: Badlands,2025-11-05,43.3023,7.695,2619,en,,Action; Science Fiction; Adventure
240459,tv,Spartacus: House of Ashur,2025-12-05,42.76,6.937,239,en,US,Drama; Action & Adventure
1539104,movie,JUJUTSU KAISEN: Execution,2025-11-07,41.4552,5.935,93,ja,,Animation; Action; Fantasy
1572073,movie,The Deadly Little Mermaid,2026-03-06,41.3527,4.717,23,en,,Horror
1582770,movie,Dhurandhar: The Revenge,2026-03-18,39.9834,7.8,58,hi,,Action; Crime; Thriller
