id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1265609,movie,War Machine,2026-02-12,377.835,7.265,992,en,,Action; Science Fiction; Thriller
1290821,movie,Shelter,2026-01-28,296.6729,6.56,325,en,,Action; Crime; Thriller
83533,movie,Avatar: Fire and Ash,2025-12-17,200.1306,7.262,1901,en,,Science Fiction; Adventure; Fantasy
1159559,movie,Scream 7,2026-02-25,174.1944,5.901,372,en,,Horror; Mystery; Crime
687163,movie,Project Hail Mary,2026-03-15,170.1674,8.221,140,en,,Science Fiction; Adventure; Mystery
1084242,movie,Zootopia 2,2025-11-26,169.3243,7.607,2238,en,,Animation; Comedy; Adventure; Family; Mystery
1171145,movie,Crime 101,2026-02-11,156.9404,7.011,187,en,,Crime; Thriller
840464,movie,Greenland 2: Migration,2026-01-07,145.6044,6.4,633,en,,Adventure; Thriller; Science Fiction
1054867,movie,One Battle After Another,2025-09-23,137.6897,7.393,3195,en,,Thriller; Crime; Comedy
1327819,movie,Hoppers,2026-03-04,128.8945,7.709,227,en,,Animation; Family; Science Fiction; Comedy
1236153,movie,Mercy,2026-01-20,117.1479,7.1,762,en,,Science Fiction; Action; Thriller
1193501,movie,Whistle,2026-01-20,116.9556,6.089,158,en,,Horror; Mystery
1316092,movie,"""Wuthering Heights""",2026-02-11,110.4388,6.352,533,en,,Romance; Drama
680493,movie,Return to Silent Hill,2026-01-21,107.7184,5.029,274,en,,Mystery; Drama; Horror
1088434,movie,Hellfire,2026-02-05,104.8813,6.904,57,en,,Action; Thriller
1168190,movie,The Wrecking Crew,2026-01-28,104.286,6.887,794,en,,Action; Comedy; Crime; Mystery
279388,tv,Pursuit of Jade,2026-03-06,100.7879,7.942,26,zh,CN,Drama
290856,tv,Marshals,2026-03-01,88.4086,7.449,80,en,US,Drama
1368166,movie,The Housemaid,2025-12-18,85.6075,7.234,1545,en,,Drama; Mystery; Thriller
240740,tv,Scarpetta,2026-03-11,84.4706,6.262,61,en,US,Drama; Crime; Mystery
292474,tv,Radioactive Emergency,2026-03-18,82.4436,6.885,13,pt,BR,Drama; Mystery; Action & Adventure
1582770,movie,Dhurandhar: The Revenge,2026-03-18,80.1797,7.5,10,hi,,Action; Crime; Thriller
1634301,movie,Vanaveera,2026-02-13,79.2446,7.0,3,te,,Action; Drama
1242898,movie,Predator: Badlands,2025-11-05,78.4384,7.702,2424,en,,Action; Science Fiction; Adventure
314073,tv,Never Forget Your Enemy,2026-03-17,77.3081,0.0,0,ko,KR,Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,72.9862,8.465,684,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure
1234731,movie,Anaconda,2025-12-24,70.0782,5.859,809,en,,Adventure; Comedy; Horror
1387382,movie,Hunting Season,2025-12-05,66.5243,6.99,156,en,,Action; Drama; Thriller
1119449,movie,"Good Luck, Have Fun, Don't Die",2026-02-13,65.7335,6.877,195,en,,Science Fiction; Action; Comedy
225891,tv,The Madison,2026-03-14,64.1245,9.0,20,en,US,Drama; Western
283673,tv,That Night,2026-03-13,61.5423,6.605,19,es,ES,Crime; Drama; Mystery
1167307,movie,David,2025-12-14,61.2015,8.0,108,en,,Animation; Family; Drama
1317288,movie,Marty Supreme,2025-12-19,57.8733,7.47,1358,en,,Drama; Thriller
1217584,movie,Torrente for President,2026-03-13,57.6863,6.5,11,es,,Comedy
1306368,movie,The Rip,2026-01-13,57.4467,7.068,1394,en,,Action; Thriller; Crime
1584215,movie,The Internship,2026-01-13,55.4546,6.11,59,en,,Action
858024,movie,Hamnet,2025-11-26,55.3181,7.709,1058,en,,Drama; Romance; History
696393,movie,Cold Storage,2026-01-22,54.4215,6.741,216,en,,Horror; Science Fiction; Comedy
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,53.1517,7.191,846,en,,Horror; Thriller; Science Fiction
1448560,movie,Wildcat,2025-11-19,53.029,6.217,138,en,,Action; Thriller
281010,tv,Phantom Lawyer,2026-03-13,52.1872,6.7,3,ko,KR,Sci-Fi & Fantasy; Mystery; Drama
1539104,movie,JUJUTSU KAISEN: Execution,2025-11-07,50.8673,5.8,86,ja,,Animation; Action; Fantasy
425274,movie,Now You See Me: Now You Don't,2025-11-12,50.7894,6.546,1251,en,,Thriller; Crime
255661,tv,Young Sherlock,2026-03-04,50.5967,7.992,123,en,GB,Action & Adventure; Mystery
240459,tv,Spartacus: House of Ashur,2025-12-05,50.5293,6.887,222,en,US,Drama; Action & Adventure
1062722,movie,Frankenstein,2025-10-17,49.6714,7.653,3158,en,,Drama; Fantasy; Horror
1601243,movie,Oscar Shaw,2026-01-09,49.5879,6.692,26,en,,Action; Crime; Thriller; Western
1367642,movie,Reminders of Him,2026-03-11,49.5087,7.029,51,en,,Romance; Drama
285386,tv,Day One,2026-03-13,49.3679,6.667,6,es,ES,Drama; Mystery
1426964,movie,State of Fear,2026-02-10,48.9467,5.414,58,pt,,Action; Thriller; Crime; Drama
1511417,movie,Bāhubali: The Epic,2025-10-29,47.3874,6.0,33,te,,Action; Drama
306215,tv,You are the One I Love,2026-02-12,46.5682,7.5,2,tr,TR,Drama; Soap
1650558,movie,Abot Langit,2026-03-13,46.3627,5.0,1,tl,,Romance
1401778,movie,Turbulence,2025-11-26,43.1671,5.952,73,en,,Thriller; Action; Adventure; Drama; Fantasy
235685,tv,The Pendragon Cycle: Rise of the Merlin,2026-01-22,42.2469,7.9,39,en,US,Sci-Fi & Fantasy; Action & Adventure; Family; Drama
259819,tv,Rooster Fighter,2026-03-15,41.8022,9.5,10,en,US,Animation; Action & Adventure; Sci-Fi & Fantasy
275202,tv,La oficina,2026-03-13,41.5236,9.571,14,es,MX,Comedy
1424965,movie,Ice Skater,2026-02-24,41.3082,5.7,10,en,,Drama; Thriller
1297842,movie,GOAT,2026-02-11,41.0107,7.5,114,en,,Animation; Comedy; Family
1196067,movie,Worldbreaker,2025-10-30,40.1904,5.905,100,en,,Science Fiction; Action; Horror
281016,tv,Boyfriend on Demand,2026-03-06,39.7454,8.518,55,ko,KR,Comedy; Sci-Fi & Fantasy; Drama
300015,tv,Ichigo Aika: Strawberry Elegy,2026-01-05,38.7544,7.3,3,ja,JP,Animation; Comedy
1110034,movie,Kraken,2026-02-06,37.7483,6.2,8,no,,Horror; Action; Thriller
798645,movie,The Running Man,2025-11-11,36.9077,6.769,1286,en,,Action; Thriller; Science Fiction
875828,movie,Peaky Blinders: The Immortal Man,2026-03-05,36.7965,7.5,64,en,,Crime; Drama
1363123,movie,The Family Plan 2,2025-11-11,36.5779,6.536,521,en,,Action; Comedy
254953,tv,Rooster,2026-03-08,36.2463,7.395,19,en,US,Comedy
1180831,movie,Troll 2,2025-11-30,36.082,6.5,438,no,,Action; Fantasy; Thriller
285166,tv,"Jack-of-All-Trades, Party of None",2026-01-04,35.721,8.042,24,ja,JP,Animation; Action & Adventure; Sci-Fi & Fantasy
108181,tv,Imperfect Women,2026-03-17,35.6883,5.1,19,en,US,Drama; Mystery; Crime
273160,tv,The Beauty,2026-01-21,35.5228,6.245,106,en,US,Drama; Sci-Fi & Fantasy
