id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
840464,movie,Greenland 2: Migration,2026-01-07,365.031,6.559,415,en,,Adventure; Thriller; Science Fiction
1368166,movie,The Housemaid,2025-12-18,298.0136,7.2,1043,en,,Mystery; Thriller
1168190,movie,The Wrecking Crew,2026-01-28,262.7138,6.847,540,en,,Action; Comedy; Crime; Mystery
1315303,movie,Primate,2026-01-01,245.729,6.6,223,en,,Horror; Thriller
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,236.2983,8.233,251,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure
1084242,movie,Zootopia 2,2025-11-26,216.4433,7.617,1641,en,,Animation; Comedy; Adventure; Family; Mystery
1426964,movie,State of Fear,2026-02-10,214.8217,3.794,17,pt,,Action; Thriller; Crime; Drama
1601243,movie,Oscar Shaw,2026-01-09,190.5522,6.368,19,en,,Action; Crime; Thriller
1317288,movie,Marty Supreme,2025-12-19,162.6208,7.646,668,en,,Drama
1242898,movie,Predator: Badlands,2025-11-05,152.1325,7.732,1898,en,,Action; Science Fiction; Adventure
240459,tv,Spartacus: House of Ashur,2025-12-05,137.5074,6.696,179,en,US,Drama; Action & Adventure
83533,movie,Avatar: Fire and Ash,2025-12-17,137.1843,7.292,1744,en,,Science Fiction; Adventure; Fantasy
1310568,movie,Murder at the Embassy,2025-11-14,133.6653,5.7,32,en,,Mystery; Thriller; Action
1584215,movie,The Internship,2026-01-13,113.5313,6.2,44,en,,Action
1271895,movie,96 Minutes,2025-09-05,113.2673,5.878,41,zh,,Action; Crime; Romance
274776,tv,Unfamiliar,2026-02-05,109.3339,7.683,41,de,DE,Action & Adventure; Drama; Crime
1306368,movie,The Rip,2026-01-13,96.9291,7.051,1144,en,,Action; Thriller; Crime
858024,movie,Hamnet,2025-11-26,94.6025,7.804,476,en,,Drama; Romance; History
235685,tv,The Pendragon Cycle: Rise of the Merlin,2026-01-22,94.1813,8.4,24,en,US,Sci-Fi & Fantasy; Action & Adventure; Family; Drama
1234731,movie,Anaconda,2025-12-24,90.8714,5.803,562,en,,Adventure; Comedy; Horror
1167307,movie,David,2025-12-14,87.6665,8.044,80,en,,Animation; Family; Drama
1043197,movie,Dust Bunny,2025-12-11,86.467,6.671,165,en,,Fantasy; Action; Thriller
1316092,movie,“Wuthering Heights”,2026-02-11,84.9541,7.3,63,en,,Drama; Romance
1373198,movie,Twisted,2026-02-06,81.251,4.5,24,en,,Horror; Thriller
1198984,movie,We Bury the Dead,2026-01-01,74.1438,6.132,87,en,,Horror; Thriller
1290821,movie,Shelter,2026-01-28,73.1695,7.6,40,en,,Action; Crime; Thriller
1198994,movie,Send Help,2026-01-22,69.123,7.027,239,en,,Horror; Thriller; Comedy
1242501,movie,Icefall,2025-10-16,66.7087,6.418,122,en,,Action; Crime; Thriller
991494,movie,The SpongeBob Movie: Search for SquarePants,2025-12-16,65.5817,6.719,187,en,,Animation; Family; Comedy; Adventure; Fantasy
302463,tv,Dinastía Casillas,2025-10-07,60.0271,8.267,288,es,US,Drama; Action & Adventure; Mystery
425274,movie,Now You See Me: Now You Don't,2025-11-12,59.429,6.55,1030,en,,Thriller; Crime; Mystery
259856,tv,Salvador,2026-02-06,57.2909,6.667,18,es,ES,Drama; Mystery
270600,tv,The 'Burbs,2026-02-08,55.2997,4.806,31,en,US,Comedy; Mystery
270444,tv,Lead Children,2026-02-11,53.3338,9.0,4,pl,PL,Drama; War & Politics
1297842,movie,GOAT,2026-02-11,53.2101,6.542,12,en,,Animation; Comedy; Family; Action
198178,tv,Wonder Man,2026-01-27,52.0624,7.1,192,en,US,Comedy; Drama
1252037,movie,The Tank,2025-09-18,50.7049,7.066,324,de,,War; Action; Drama
1171145,movie,Crime 101,2026-02-11,50.3315,8.462,13,en,,Crime; Thriller
307423,tv,Doménica Montero,2025-12-08,49.2969,8.258,151,es,MX,Drama
301507,tv,Heated Rivalry,2025-11-28,49.1741,8.771,291,en,CA,Drama
1408208,movie,Exit 8,2025-08-28,49.1235,6.329,170,ja,,Horror; Mystery
1454741,movie,The Confession,2026-01-08,48.0597,5.524,21,en,,Horror
273160,tv,The Beauty,2026-01-21,47.7374,6.193,57,en,US,Drama; Sci-Fi & Fantasy
200875,tv,IT: Welcome to Derry,2025-10-26,47.5896,8.236,1273,en,US,Drama; Mystery
280948,tv,Spring Fever,2026-01-05,45.3855,8.19,21,ko,KR,Comedy; Drama
680493,movie,Return to Silent Hill,2026-01-21,45.091,5.2,133,en,,Horror; Mystery
1466115,movie,Even If This Love Disappears Tonight,2025-12-24,44.9311,8.06,42,ko,,Romance; Drama
628847,movie,Trap House,2025-11-14,44.7674,6.593,209,en,,Action; Crime; Thriller
1054867,movie,One Battle After Another,2025-09-23,43.0925,7.4,2780,en,,Thriller; Crime; Action
225171,tv,Pluribus,2025-11-06,40.798,7.9,686,en,US,Drama; Sci-Fi & Fantasy
1590097,movie,Afterlight,2025-11-27,40.7541,5.292,12,en,,Science Fiction
1548113,movie,The Muppet Show,2026-02-03,40.2737,7.068,59,en,,Comedy; Family; Music; TV Movie
283370,tv,Motorvalley,2026-02-10,39.7255,6.8,5,it,IT,Drama; Action & Adventure
1364904,movie,A Useful Ghost,2025-08-27,38.7006,6.9,18,th,,Comedy; Drama; Fantasy
1370814,movie,The Plague,2025-12-24,38.4422,6.9,39,en,,Drama; Thriller
