id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres,genre
1265609,movie,War Machine,2026-02-12,377.835,7.265,992,en,,Action; Science Fiction; Thriller,Action
1265609,movie,War Machine,2026-02-12,377.835,7.265,992,en,,Action; Science Fiction; Thriller,Science Fiction
1265609,movie,War Machine,2026-02-12,377.835,7.265,992,en,,Action; Science Fiction; Thriller,Thriller
1290821,movie,Shelter,2026-01-28,296.6729,6.56,325,en,,Action; Crime; Thriller,Action
1290821,movie,Shelter,2026-01-28,296.6729,6.56,325,en,,Action; Crime; Thriller,Crime
1290821,movie,Shelter,2026-01-28,296.6729,6.56,325,en,,Action; Crime; Thriller,Thriller
83533,movie,Avatar: Fire and Ash,2025-12-17,200.1306,7.262,1901,en,,Science Fiction; Adventure; Fantasy,Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,200.1306,7.262,1901,en,,Science Fiction; Adventure; Fantasy,Adventure
83533,movie,Avatar: Fire and Ash,2025-12-17,200.1306,7.262,1901,en,,Science Fiction; Adventure; Fantasy,Fantasy
1159559,movie,Scream 7,2026-02-25,174.1944,5.901,372,en,,Horror; Mystery; Crime,Horror
1159559,movie,Scream 7,2026-02-25,174.1944,5.901,372,en,,Horror; Mystery; Crime,Mystery
1159559,movie,Scream 7,2026-02-25,174.1944,5.901,372,en,,Horror; Mystery; Crime,Crime
687163,movie,Project Hail Mary,2026-03-15,170.1674,8.221,140,en,,Science Fiction; Adventure; Mystery,Science Fiction
687163,movie,Project Hail Mary,2026-03-15,170.1674,8.221,140,en,,Science Fiction; Adventure; Mystery,Adventure
687163,movie,Project Hail Mary,2026-03-15,170.1674,8.221,140,en,,Science Fiction; Adventure; Mystery,Mystery
1084242,movie,Zootopia 2,2025-11-26,169.3243,7.607,2238,en,,Animation; Comedy; Adventure; Family; Mystery,Animation
1084242,movie,Zootopia 2,2025-11-26,169.3243,7.607,2238,en,,Animation; Comedy; Adventure; Family; Mystery,Comedy
1084242,movie,Zootopia 2,2025-11-26,169.3243,7.607,2238,en,,Animation; Comedy; Adventure; Family; Mystery,Adventure
1084242,movie,Zootopia 2,2025-11-26,169.3243,7.607,2238,en,,Animation; Comedy; Adventure; Family; Mystery,Family
1084242,movie,Zootopia 2,2025-11-26,169.3243,7.607,2238,en,,Animation; Comedy; Adventure; Family; Mystery,Mystery
1171145,movie,Crime 101,2026-02-11,156.9404,7.011,187,en,,Crime; Thriller,Crime
1171145,movie,Crime 101,2026-02-11,156.9404,7.011,187,en,,Crime; Thriller,Thriller
840464,movie,Greenland 2: Migration,2026-01-07,145.6044,6.4,633,en,,Adventure; Thriller; Science Fiction,Adventure
840464,movie,Greenland 2: Migration,2026-01-07,145.6044,6.4,633,en,,Adventure; Thriller; Science Fiction,Thriller
840464,movie,Greenland 2: Migration,2026-01-07,145.6044,6.4,633,en,,Adventure; Thriller; Science Fiction,Science Fiction
1054867,movie,One Battle After Another,2025-09-23,137.6897,7.393,3195,en,,Thriller; Crime; Comedy,Thriller
1054867,movie,One Battle After Another,2025-09-23,137.6897,7.393,3195,en,,Thriller; Crime; Comedy,Crime
1054867,movie,One Battle After Another,2025-09-23,137.6897,7.393,3195,en,,Thriller; Crime; Comedy,Comedy
1327819,movie,Hoppers,2026-03-04,128.8945,7.709,227,en,,Animation; Family; Science Fiction; Comedy,Animation
1327819,movie,Hoppers,2026-03-04,128.8945,7.709,227,en,,Animation; Family; Science Fiction; Comedy,Family
1327819,movie,Hoppers,2026-03-04,128.8945,7.709,227,en,,Animation; Family; Science Fiction; Comedy,Science Fiction
1327819,movie,Hoppers,2026-03-04,128.8945,7.709,227,en,,Animation; Family; Science Fiction; Comedy,Comedy
1236153,movie,Mercy,2026-01-20,117.1479,7.1,762,en,,Science Fiction; Action; Thriller,Science Fiction
1236153,movie,Mercy,2026-01-20,117.1479,7.1,762,en,,Science Fiction; Action; Thriller,Action
1236153,movie,Mercy,2026-01-20,117.1479,7.1,762,en,,Science Fiction; Action; Thriller,Thriller
1193501,movie,Whistle,2026-01-20,116.9556,6.089,158,en,,Horror; Mystery,Horror
1193501,movie,Whistle,2026-01-20,116.9556,6.089,158,en,,Horror; Mystery,Mystery
1316092,movie,"""Wuthering Heights""",2026-02-11,110.4388,6.352,533,en,,Romance; Drama,Romance
1316092,movie,"""Wuthering Heights""",2026-02-11,110.4388,6.352,533,en,,Romance; Drama,Drama
680493,movie,Return to Silent Hill,2026-01-21,107.7184,5.029,274,en,,Mystery; Drama; Horror,Mystery
680493,movie,Return to Silent Hill,2026-01-21,107.7184,5.029,274,en,,Mystery; Drama; Horror,Drama
680493,movie,Return to Silent Hill,2026-01-21,107.7184,5.029,274,en,,Mystery; Drama; Horror,Horror
1088434,movie,Hellfire,2026-02-05,104.8813,6.904,57,en,,Action; Thriller,Action
1088434,movie,Hellfire,2026-02-05,104.8813,6.904,57,en,,Action; Thriller,Thriller
1168190,movie,The Wrecking Crew,2026-01-28,104.286,6.887,794,en,,Action; Comedy; Crime; Mystery,Action
1168190,movie,The Wrecking Crew,2026-01-28,104.286,6.887,794,en,,Action; Comedy; Crime; Mystery,Comedy
1168190,movie,The Wrecking Crew,2026-01-28,104.286,6.887,794,en,,Action; Comedy; Crime; Mystery,Crime
1168190,movie,The Wrecking Crew,2026-01-28,104.286,6.887,794,en,,Action; Comedy; Crime; Mystery,Mystery
279388,tv,Pursuit of Jade,2026-03-06,100.7879,7.942,26,zh,CN,Drama,Drama
290856,tv,Marshals,2026-03-01,88.4086,7.449,80,en,US,Drama,Drama
1368166,movie,The Housemaid,2025-12-18,85.6075,7.234,1545,en,,Drama; Mystery; Thriller,Drama
1368166,movie,The Housemaid,2025-12-18,85.6075,7.234,1545,en,,Drama; Mystery; Thriller,Mystery
1368166,movie,The Housemaid,2025-12-18,85.6075,7.234,1545,en,,Drama; Mystery; Thriller,Thriller
240740,tv,Scarpetta,2026-03-11,84.4706,6.262,61,en,US,Drama; Crime; Mystery,Drama
240740,tv,Scarpetta,2026-03-11,84.4706,6.262,61,en,US,Drama; Crime; Mystery,Crime
240740,tv,Scarpetta,2026-03-11,84.4706,6.262,61,en,US,Drama; Crime; Mystery,Mystery
292474,tv,Radioactive Emergency,2026-03-18,82.4436,6.885,13,pt,BR,Drama; Mystery; Action & Adventure,Drama
292474,tv,Radioactive Emergency,2026-03-18,82.4436,6.885,13,pt,BR,Drama; Mystery; Action & Adventure,Mystery
292474,tv,Radioactive Emergency,2026-03-18,82.4436,6.885,13,pt,BR,Drama; Mystery; Action & Adventure,Action & Adventure
1582770,movie,Dhurandhar: The Revenge,2026-03-18,80.1797,7.5,10,hi,,Action; Crime; Thriller,Action
1582770,movie,Dhurandhar: The Revenge,2026-03-18,80.1797,7.5,10,hi,,Action; Crime; Thriller,Crime
1582770,movie,Dhurandhar: The Revenge,2026-03-18,80.1797,7.5,10,hi,,Action; Crime; Thriller,Thriller
1634301,movie,Vanaveera,2026-02-13,79.2446,7.0,3,te,,Action; Drama,Action
1634301,movie,Vanaveera,2026-02-13,79.2446,7.0,3,te,,Action; Drama,Drama
1242898,movie,Predator: Badlands,2025-11-05,78.4384,7.702,2424,en,,Action; Science Fiction; Adventure,Action
1242898,movie,Predator: Badlands,2025-11-05,78.4384,7.702,2424,en,,Action; Science Fiction; Adventure,Science Fiction
1242898,movie,Predator: Badlands,2025-11-05,78.4384,7.702,2424,en,,Action; Science Fiction; Adventure,Adventure
314073,tv,Never Forget Your Enemy,2026-03-17,77.3081,0.0,0,ko,KR,Drama,Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,72.9862,8.465,684,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,72.9862,8.465,684,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Sci-Fi & Fantasy
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,72.9862,8.465,684,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure,Action & Adventure
1234731,movie,Anaconda,2025-12-24,70.0782,5.859,809,en,,Adventure; Comedy; Horror,Adventure
1234731,movie,Anaconda,2025-12-24,70.0782,5.859,809,en,,Adventure; Comedy; Horror,Comedy
1234731,movie,Anaconda,2025-12-24,70.0782,5.859,809,en,,Adventure; Comedy; Horror,Horror
1387382,movie,Hunting Season,2025-12-05,66.5243,6.99,156,en,,Action; Drama; Thriller,Action
1387382,movie,Hunting Season,2025-12-05,66.5243,6.99,156,en,,Action; Drama; Thriller,Drama
1387382,movie,Hunting Season,2025-12-05,66.5243,6.99,156,en,,Action; Drama; Thriller,Thriller
1119449,movie,"Good Luck, Have Fun, Don't Die",2026-02-13,65.7335,6.877,195,en,,Science Fiction; Action; Comedy,Science Fiction
1119449,movie,"Good Luck, Have Fun, Don't Die",2026-02-13,65.7335,6.877,195,en,,Science Fiction; Action; Comedy,Action
1119449,movie,"Good Luck, Have Fun, Don't Die",2026-02-13,65.7335,6.877,195,en,,Science Fiction; Action; Comedy,Comedy
225891,tv,The Madison,2026-03-14,64.1245,9.0,20,en,US,Drama; Western,Drama
225891,tv,The Madison,2026-03-14,64.1245,9.0,20,en,US,Drama; Western,Western
283673,tv,That Night,2026-03-13,61.5423,6.605,19,es,ES,Crime; Drama; Mystery,Crime
283673,tv,That Night,2026-03-13,61.5423,6.605,19,es,ES,Crime; Drama; Mystery,Drama
283673,tv,That Night,2026-03-13,61.5423,6.605,19,es,ES,Crime; Drama; Mystery,Mystery
1167307,movie,David,2025-12-14,61.2015,8.0,108,en,,Animation; Family; Drama,Animation
1167307,movie,David,2025-12-14,61.2015,8.0,108,en,,Animation; Family; Drama,Family
1167307,movie,David,2025-12-14,61.2015,8.0,108,en,,Animation; Family; Drama,Drama
1317288,movie,Marty Supreme,2025-12-19,57.8733,7.47,1358,en,,Drama; Thriller,Drama
1317288,movie,Marty Supreme,2025-12-19,57.8733,7.47,1358,en,,Drama; Thriller,Thriller
1217584,movie,Torrente for President,2026-03-13,57.6863,6.5,11,es,,Comedy,Comedy
1306368,movie,The Rip,2026-01-13,57.4467,7.068,1394,en,,Action; Thriller; Crime,Action
1306368,movie,The Rip,2026-01-13,57.4467,7.068,1394,en,,Action; Thriller; Crime,Thriller
1306368,movie,The Rip,2026-01-13,57.4467,7.068,1394,en,,Action; Thriller; Crime,Crime
1584215,movie,The Internship,2026-01-13,55.4546,6.11,59,en,,Action,Action
858024,movie,Hamnet,2025-11-26,55.3181,7.709,1058,en,,Drama; Romance; History,Drama
858024,movie,Hamnet,2025-11-26,55.3181,7.709,1058,en,,Drama; Romance; History,Romance
858024,movie,Hamnet,2025-11-26,55.3181,7.709,1058,en,,Drama; Romance; History,History
696393,movie,Cold Storage,2026-01-22,54.4215,6.741,216,en,,Horror; Science Fiction; Comedy,Horror
696393,movie,Cold Storage,2026-01-22,54.4215,6.741,216,en,,Horror; Science Fiction; Comedy,Science Fiction
696393,movie,Cold Storage,2026-01-22,54.4215,6.741,216,en,,Horror; Science Fiction; Comedy,Comedy
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,53.1517,7.191,846,en,,Horror; Thriller; Science Fiction,Horror
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,53.1517,7.191,846,en,,Horror; Thriller; Science Fiction,Thriller
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,53.1517,7.191,846,en,,Horror; Thriller; Science Fiction,Science Fiction
1448560,movie,Wildcat,2025-11-19,53.029,6.217,138,en,,Action; Thriller,Action
1448560,movie,Wildcat,2025-11-19,53.029,6.217,138,en,,Action; Thriller,Thriller
281010,tv,Phantom Lawyer,2026-03-13,52.1872,6.7,3,ko,KR,Sci-Fi & Fantasy; Mystery; Drama,Sci-Fi & Fantasy
281010,tv,Phantom Lawyer,2026-03-13,52.1872,6.7,3,ko,KR,Sci-Fi & Fantasy; Mystery; Drama,Mystery
281010,tv,Phantom Lawyer,2026-03-13,52.1872,6.7,3,ko,KR,Sci-Fi & Fantasy; Mystery; Drama,Drama
1539104,movie,JUJUTSU KAISEN: Execution,2025-11-07,50.8673,5.8,86,ja,,Animation; Action; Fantasy,Animation
1539104,movie,JUJUTSU KAISEN: Execution,2025-11-07,50.8673,5.8,86,ja,,Animation; Action; Fantasy,Action
1539104,movie,JUJUTSU KAISEN: Execution,2025-11-07,50.8673,5.8,86,ja,,Animation; Action; Fantasy,Fantasy
425274,movie,Now You See Me: Now You Don't,2025-11-12,50.7894,6.546,1251,en,,Thriller; Crime,Thriller
425274,movie,Now You See Me: Now You Don't,2025-11-12,50.7894,6.546,1251,en,,Thriller; Crime,Crime
255661,tv,Young Sherlock,2026-03-04,50.5967,7.992,123,en,GB,Action & Adventure; Mystery,Action & Adventure
255661,tv,Young Sherlock,2026-03-04,50.5967,7.992,123,en,GB,Action & Adventure; Mystery,Mystery
240459,tv,Spartacus: House of Ashur,2025-12-05,50.5293,6.887,222,en,US,Drama; Action & Adventure,Drama
240459,tv,Spartacus: House of Ashur,2025-12-05,50.5293,6.887,222,en,US,Drama; Action & Adventure,Action & Adventure
1062722,movie,Frankenstein,2025-10-17,49.6714,7.653,3158,en,,Drama; Fantasy; Horror,Drama
