id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1242898,movie,Predator: Badlands,2025-11-05,720.5807,7.7,1109,en,,Action; Science Fiction; Adventure
1252037,movie,The Tank,2025-09-18,446.5848,7.1,151,de,,War; Action; Drama
83533,movie,Avatar: Fire and Ash,2025-12-17,395.9455,7.4,1279,en,,Science Fiction; Adventure; Fantasy
1084242,movie,Zootopia 2,2025-11-26,275.7872,7.594,1008,en,,Animation; Comedy; Adventure; Family; Mystery
1242501,movie,Icefall,2025-10-16,274.1143,6.9,61,en,,Action; Crime; Thriller
628847,movie,Trap House,2025-11-14,234.5497,6.267,116,en,,Action; Crime; Thriller
1511417,movie,Bāhubali: The Epic,2025-10-29,227.9554,5.9,21,te,,Action; Drama
1311031,movie,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,177.6354,7.638,645,ja,,Animation; Action; Fantasy
1368166,movie,The Housemaid,2025-12-18,166.6836,7.184,275,en,,Mystery; Thriller
1228246,movie,Five Nights at Freddy's 2,2025-12-03,156.4514,6.813,544,en,,Horror; Thriller
1131759,movie,Omniscient Reader: The Prophecy,2025-07-23,155.8985,6.8,40,ko,,Action; Adventure; Fantasy
755898,movie,War of the Worlds,2025-07-29,148.2171,4.227,819,en,,Science Fiction; Thriller
425274,movie,Now You See Me: Now You Don't,2025-11-12,131.5351,6.596,836,en,,Thriller; Crime; Mystery
240459,tv,Spartacus: House of Ashur,2025-12-05,125.5197,6.265,117,en,US,Drama; Action & Adventure
982843,movie,The Great Flood,2025-09-18,121.7378,6.01,442,ko,,Science Fiction; Adventure; Drama
1512623,movie,Risqué,2025-08-01,119.9826,6.95,30,en,,Action; Crime; Thriller
1419406,movie,The Shadow's Edge,2025-08-16,119.4149,6.7,192,zh,,Action; Crime; Thriller
772462,movie,Don't Follow Me,2025-10-30,114.5884,5.882,17,es,,Horror; Mystery
200875,tv,IT: Welcome to Derry,2025-10-26,114.3515,8.233,1154,en,US,Drama; Mystery
1439112,movie,Muzzle: City of Wolves,2025-11-13,104.1657,6.729,85,en,,Action; Thriller; Mystery
