id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1290821,movie,Shelter,2026-01-28,388.3942,6.787,223,en,,Action; Crime; Thriller
799882,movie,The Bluff,2026-02-17,245.9062,6.189,188,en,,Action; Thriller
1199193,movie,Pose,2026-02-25,239.8635,7.368,19,en,,Thriller
255661,tv,Young Sherlock,2026-03-04,188.8957,8.8,34,en,GB,Action & Adventure; Mystery
1159559,movie,Scream 7,2026-02-25,179.2451,5.945,238,en,,Horror; Mystery; Crime
680493,movie,Return to Silent Hill,2026-01-21,162.2613,5.048,240,en,,Mystery; Drama; Horror
290856,tv,Marshals,2026-03-01,158.9808,8.0,46,en,US,Drama; Western
1401778,movie,Turbulence,2025-11-26,152.807,5.709,55,en,,Thriller; Action; Adventure; Drama; Fantasy
1634301,movie,Vanaveera,2026-02-13,145.3455,6.0,2,te,,Action; Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,143.3767,8.47,607,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure
1236153,movie,Mercy,2026-01-20,133.6746,7.08,650,en,,Science Fiction; Action; Thriller
1088434,movie,Hellfire,2026-02-05,129.7752,6.947,47,en,,Action; Thriller
1084242,movie,Zootopia 2,2025-11-26,125.1053,7.614,1946,en,,Animation; Comedy; Adventure; Family; Mystery
1266798,movie,Dog 51,2025-10-15,117.5584,6.265,215,fr,,Thriller; Science Fiction; Crime; Action
300054,tv,BAKI-DOU: The Invincible Samurai,2026-02-26,108.3747,8.313,8,ja,JP,Animation; Action & Adventure
840464,movie,Greenland 2: Migration,2026-01-07,106.1658,6.485,553,en,,Adventure; Thriller; Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,102.065,7.274,1859,en,,Science Fiction; Adventure; Fantasy
1368166,movie,The Housemaid,2025-12-18,90.4131,7.253,1398,en,,Drama; Mystery; Thriller
1032892,movie,In the Blink of an Eye,2026-01-26,86.6932,4.538,52,en,,Drama; Science Fiction
306215,tv,You are the One I Love,2026-02-12,85.8354,7.5,2,tr,TR,Drama; Soap
300015,tv,Ichigo Aika: Strawberry Elegy,2026-01-05,85.5652,7.3,3,ja,JP,Animation; Comedy
1327819,movie,Hoppers,2026-02-28,85.4408,7.7,52,en,,Animation; Family; Comedy; Science Fiction
1159831,movie,The Bride!,2026-03-04,84.3273,6.837,46,en,,Science Fiction; Horror; Comedy
1168190,movie,The Wrecking Crew,2026-01-28,83.2216,6.915,737,en,,Action; Comedy; Crime; Mystery
1242898,movie,Predator: Badlands,2025-11-05,79.6852,7.719,2262,en,,Action; Science Fiction; Adventure
