id,media_type,title,date,popularity,vote_average,vote_count,original_language,origin_country_code,genres
1168190,movie,The Wrecking Crew,2026-01-28,580.7651,6.804,393,en,,Action; Comedy; Crime; Mystery
840464,movie,Greenland 2: Migration,2026-01-07,559.5793,6.495,319,en,,Adventure; Thriller; Science Fiction
1368166,movie,The Housemaid,2025-12-18,353.1395,7.131,767,en,,Mystery; Thriller
1084242,movie,Zootopia 2,2025-11-26,310.0706,7.628,1535,en,,Animation; Comedy; Adventure; Family; Mystery
1419406,movie,The Shadow's Edge,2025-08-16,294.2576,7.165,398,zh,,Action; Crime; Drama; Thriller
1601243,movie,Oscar Shaw,2026-01-09,263.8292,5.8,14,en,,Action; Crime; Thriller
1271895,movie,96 Minutes,2025-09-05,217.5385,5.769,26,zh,,Action; Crime; Romance
1310568,movie,Murder at the Embassy,2025-11-14,208.9002,5.5,30,en,,Mystery; Thriller; Action
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,206.1322,8.137,186,en,US,Drama; Sci-Fi & Fantasy; Action & Adventure
1234731,movie,Anaconda,2025-12-24,187.931,5.842,462,en,,Adventure; Comedy; Horror
1584215,movie,The Internship,2026-01-13,168.1624,6.1,38,en,,Action
83533,movie,Avatar: Fire and Ash,2025-12-17,151.2899,7.3,1693,en,,Science Fiction; Adventure; Fantasy
235685,tv,The Pendragon Cycle: Rise of the Merlin,2026-01-22,138.0783,8.429,21,en,US,Sci-Fi & Fantasy; Action & Adventure; Family; Drama
1242898,movie,Predator: Badlands,2025-11-05,131.7466,7.751,1806,en,,Action; Science Fiction; Adventure
1306368,movie,The Rip,2026-01-13,129.5096,7.025,1066,en,,Action; Thriller; Crime
1167307,movie,David,2025-12-14,125.3076,8.0,64,en,,Animation; Family; Drama
240459,tv,Spartacus: House of Ashur,2025-12-05,117.1965,6.4,152,en,US,Drama; Action & Adventure
198178,tv,Wonder Man,2026-01-27,116.0475,7.048,167,en,US,Comedy; Drama
858024,movie,Hamnet,2025-11-26,113.6002,7.7,283,en,,Drama; Romance; History
1290821,movie,Shelter,2026-01-28,108.674,7.6,28,en,,Action; Crime; Thriller
1198994,movie,Send Help,2026-01-22,102.9002,7.009,163,en,,Horror; Thriller; Comedy
1454741,movie,The Confession,2026-01-08,96.533,5.278,18,en,,Horror
1043197,movie,Dust Bunny,2025-12-11,95.6383,6.68,151,en,,Action; Fantasy; Thriller
1116201,movie,Iron Lung,2026-01-29,85.3289,7.589,62,en,,Horror; Science Fiction; Mystery
991494,movie,The SpongeBob Movie: Search for SquarePants,2025-12-16,82.8243,6.684,171,en,,Animation; Family; Comedy; Adventure; Fantasy
801937,movie,"Silent Night, Deadly Night",2025-12-11,77.3415,6.257,70,en,,Horror; Thriller
